symbol,date,open,high,low,close,volume
$CPC,2014-03-17,0.84,0.9,0.74,0.9,0.0
$CPC,2014-03-24,1.0,1.02,0.75,0.96,0.0
$CPC,2014-03-31,0.96,0.99,0.66,0.94,0.0
$CPC,2014-04-07,0.97,1.15,0.61,1.15,0.0
$CPC,2014-04-14,0.75,0.93,0.75,0.85,0.0
$CPC,2014-04-21,0.76,1.14,0.73,1.14,0.0
$CPC,2014-04-28,0.9,0.95,0.77,0.95,0.0
$CPC,2014-05-05,0.87,0.94,0.86,0.94,0.0
$CPC,2014-05-12,0.64,1.08,0.64,0.89,0.0
$CPC,2014-05-19,0.81,0.92,0.76,0.76,0.0
$CPC,2014-05-26,0.74,0.9,0.72,0.89,0.0
$CPC,2014-06-02,0.73,0.95,0.73,0.92,0.0
$CPC,2014-06-09,0.83,0.83,0.7,0.77,0.0
$CPC,2014-06-16,0.71,0.81,0.68,0.78,0.0
$CPC,2014-06-23,0.81,0.93,0.81,0.84,0.0
$CPC,2014-06-30,0.85,1.02,0.85,1.02,0.0
$CPC,2014-07-07,1.0,1.06,0.84,0.89,0.0
$CPC,2014-07-14,0.88,1.0,0.8,0.91,0.0
$CPC,2014-07-21,0.9,0.95,0.76,0.95,0.0
$CPC,2014-07-28,0.91,1.24,0.86,1.24,0.0
$CPC,2014-08-04,1.16,1.18,1.0,1.09,0.0
$CPC,2014-08-11,0.74,1.08,0.74,1.01,0.0
$CPC,2014-08-18,0.88,0.93,0.72,0.93,0.0
$CPC,2014-08-25,0.89,1.3,0.8,0.96,0.0
$CPC,2014-09-01,0.82,1.03,0.82,1.03,0.0
$CPC,2014-09-08,0.88,1.01,0.88,0.89,0.0
$CPC,2014-09-15,0.86,0.96,0.83,0.83,0.0
$CPC,2014-09-22,1.05,1.15,0.88,1.13,0.0
$CPC,2014-09-29,0.89,1.29,0.89,0.92,0.0
$CPC,2014-10-06,0.99,1.2,0.97,1.2,0.0
$CPC,2014-10-13,1.53,1.53,1.01,1.2,0.0
$CPC,2014-10-20,0.88,1.14,0.82,0.9,0.0
$CPC,2014-10-27,0.97,1.03,0.77,0.77,0.0
$CPC,2014-11-03,0.84,0.95,0.84,0.95,0.0
$CPC,2014-11-10,1.05,1.05,0.81,0.92,0.0
$CPC,2014-11-17,0.84,0.96,0.75,0.75,0.0
$CPC,2014-11-24,0.79,1.09,0.79,1.09,0.0
$CPC,2014-12-01,0.99,1.13,0.78,1.03,0.0
$CPC,2014-12-08,1.04,1.13,0.96,1.13,0.0
$CPC,2014-12-15,1.05,1.24,0.78,0.88,0.0
$CPC,2014-12-22,0.75,0.89,0.73,0.73,0.0
$CPC,2014-12-29,0.85,1.22,0.85,1.22,0.0
$CPC,2015-01-05,1.23,1.23,0.85,0.99,0.0
$CPC,2015-01-12,1.06,1.16,0.9,0.91,0.0
$CPC,2015-01-19,0.8,1.28,0.8,1.28,0.0
$CPC,2015-01-26,0.9,1.15,0.9,1.14,0.0
$CPC,2015-02-02,1.06,1.06,0.95,1.02,0.0
$CPC,2015-02-09,1.07,1.07,0.87,0.97,0.0
$CPC,2015-02-16,0.95,0.96,0.79,0.79,0.0
$CPC,2015-02-23,0.87,1.02,0.87,1.02,0.0
$CPC,2015-03-02,1.02,1.28,0.91,1.28,0.0
$CPC,2015-03-09,1.11,1.21,1.05,1.21,0.0
$CPC,2015-03-16,1.02,1.02,0.81,0.81,0.0
$CPC,2015-03-23,0.88,1.08,0.88,1.07,0.0
$CPC,2015-03-30,0.93,1.14,0.93,1.12,0.0
$CPC,2015-04-06,0.87,1.04,0.85,0.85,0.0
$CPC,2015-04-13,0.89,1.12,0.78,1.12,0.0
$CPC,2015-04-20,0.79,1.03,0.76,0.76,0.0
$CPC,2015-04-27,0.88,1.05,0.88,0.97,0.0
$CPC,2015-05-04,0.95,1.24,0.86,0.86,0.0
$CPC,2015-05-11,0.56,1.06,0.56,0.83,0.0
$CPC,2015-05-18,0.97,1.03,0.85,0.89,0.0
$CPC,2015-05-25,1.14,1.16,1.07,1.16,0.0
$CPC,2015-06-01,0.85,1.16,0.85,1.04,0.0
$CPC,2015-06-08,1.01,1.06,0.62,1.06,0.0
$CPC,2015-06-15,0.89,0.93,0.75,0.93,0.0
$CPC,2015-06-22,0.89,1.08,0.89,1.06,0.0
$CPC,2015-06-29,1.38,1.38,1.0,1.0,0.0
$CPC,2015-07-06,1.15,1.45,1.02,1.02,0.0
$CPC,2015-07-13,0.57,0.97,0.57,0.85,0.0
$CPC,2015-07-20,0.91,1.41,0.85,1.41,0.0
$CPC,2015-07-27,1.22,1.22,0.76,1.11,0.0
$CPC,2015-08-03,0.97,1.3,0.93,1.23,0.0
$CPC,2015-08-10,0.56,1.1,0.56,1.01,0.0
$CPC,2015-08-17,0.89,1.69,0.89,1.69,0.0
$CPC,2015-08-24,1.28,1.28,1.04,1.28,0.0
$CPC,2015-08-31,1.19,1.48,1.12,1.48,0.0
$CPC,2015-09-07,0.93,1.21,0.93,1.21,0.0
$CPC,2015-09-14,1.03,1.2,0.92,1.14,0.0
$CPC,2015-09-21,1.0,1.3,1.0,1.3,0.0
$CPC,2015-09-28,1.44,1.44,0.84,1.09,0.0
$CPC,2015-10-05,1.01,1.09,0.87,0.87,0.0
