symbol,date,open,high,low,close,volume
$NCFD,2025-06-16,29.81,45.28,29.81,39.55,0.0
$NCFD,2025-06-17,33.73,40.76,27.2,27.2,0.0
$NCFD,2025-06-18,42.87,47.38,36.44,36.44,0.0
$NCFD,2025-06-20,60.94,60.94,34.83,41.26,0.0
$NCFD,2025-06-23,36.94,56.12,32.42,56.02,0.0
$NCFD,2025-06-24,74.89,84.43,72.59,82.73,0.0
$NCFD,2025-06-25,72.79,72.79,64.45,65.26,0.0
$NCFD,2025-06-26,65.56,73.69,64.25,73.69,0.0
$NCFD,2025-06-27,68.37,78.11,55.92,66.56,0.0
$NCFD,2025-06-30,67.67,67.67,59.33,64.85,0.0
$NCFD,2025-07-01,58.13,77.4,58.13,70.18,0.0
$NCFD,2025-07-02,59.22,71.22,59.22,71.22,0.0
$NCFD,2025-07-03,77.12,81.21,77.12,81.0,0.0
$NCFD,2025-07-07,67.06,74.07,44.74,50.25,0.0
$NCFD,2025-07-08,49.94,64.36,49.94,56.95,0.0
$NCFD,2025-07-09,62.66,63.16,46.04,62.76,0.0
$NCFD,2025-07-10,55.05,71.87,55.05,63.36,0.0
$NCFD,2025-07-11,51.05,51.05,40.64,40.64,0.0
$NCFD,2025-07-14,34.03,49.04,34.03,49.04,0.0
$NCFD,2025-07-15,49.44,49.44,23.22,23.22,0.0
$NCFD,2025-07-16,32.83,42.04,26.12,41.34,0.0
$NCFD,2025-07-17,58.35,70.27,58.35,66.76,0.0
$NCFD,2025-07-18,72.07,72.07,54.45,55.76,0.0
$NCFD,2025-07-21,67.6,71.01,53.05,53.11,0.0
$NCFD,2025-07-22,48.09,65.26,48.09,60.14,0.0
$NCFD,2025-07-23,65.06,71.38,60.34,71.38,0.0
$NCFD,2025-07-24,63.95,64.95,51.7,51.7,0.0
$NCFD,2025-07-25,44.07,53.71,44.07,52.81,0.0
$NCFD,2025-07-28,48.29,49.39,40.66,41.16,0.0
$NCFD,2025-07-29,43.77,43.77,29.41,33.03,0.0
$NCFD,2025-07-30,42.77,48.69,26.3,31.82,0.0
$NCFD,2025-07-31,32.73,34.23,23.09,24.19,0.0
$NCFD,2025-08-01,13.65,20.58,13.65,18.78,0.0
$NCFD,2025-08-04,27.47,44.95,27.47,44.85,0.0
$NCFD,2025-08-05,53.94,53.94,38.36,48.35,0.0
$NCFD,2025-08-06,52.24,52.24,43.65,50.79,0.0
$NCFD,2025-08-07,64.0,64.0,39.9,45.09,0.0
$NCFD,2025-08-08,44.59,49.09,42.79,45.4,0.0
$NCFD,2025-08-11,54.29,54.29,40.29,43.14,0.0
$NCFD,2025-08-12,60.36,72.67,57.05,72.47,0.0
$NCFD,2025-08-13,81.98,86.08,81.58,85.98,0.0
$NCFD,2025-08-14,77.77,77.77,67.36,72.67,0.0
$NCFD,2025-08-15,68.56,68.56,55.45,55.55,0.0
$NCFD,2025-08-18,43.34,49.84,43.34,48.49,0.0
$NCFD,2025-08-19,47.19,57.01,34.56,38.27,0.0
$NCFD,2025-08-20,36.97,42.58,32.56,40.38,0.0
