symbol,date,open,high,low,close,volume
$NCFI,2025-06-16,70.08,73.99,69.47,70.28,0.0
$NCFI,2025-06-17,66.76,68.57,63.05,63.15,0.0
$NCFI,2025-06-18,65.86,67.06,63.35,63.35,0.0
$NCFI,2025-06-20,65.16,65.16,58.93,59.93,0.0
$NCFI,2025-06-23,59.23,67.06,56.72,67.06,0.0
$NCFI,2025-06-24,69.97,73.49,68.67,72.79,0.0
$NCFI,2025-06-25,68.97,69.07,66.46,66.46,0.0
$NCFI,2025-06-26,67.16,70.28,67.16,70.28,0.0
$NCFI,2025-06-27,69.27,71.48,67.36,69.37,0.0
$NCFI,2025-06-30,70.38,70.78,68.37,70.48,0.0
$NCFI,2025-07-01,69.27,78.61,69.27,75.97,0.0
$NCFI,2025-07-02,74.37,77.96,74.37,77.72,0.0
$NCFI,2025-07-03,78.72,79.82,78.72,79.8,0.0
$NCFI,2025-07-07,76.67,78.87,73.67,74.77,0.0
$NCFI,2025-07-08,74.87,76.97,74.87,76.47,0.0
$NCFI,2025-07-09,77.67,79.07,75.97,79.07,0.0
$NCFI,2025-07-10,76.87,79.67,76.87,77.37,0.0
$NCFI,2025-07-11,75.27,75.27,71.17,71.37,0.0
$NCFI,2025-07-14,71.27,73.37,71.27,72.87,0.0
$NCFI,2025-07-15,72.57,72.57,64.66,64.66,0.0
$NCFI,2025-07-16,67.06,68.66,62.46,67.96,0.0
$NCFI,2025-07-17,69.46,72.37,69.46,71.67,0.0
$NCFI,2025-07-18,72.77,72.77,68.46,68.5,0.0
$NCFI,2025-07-21,69.8,70.81,67.46,67.46,0.0
$NCFI,2025-07-22,67.97,71.58,67.97,71.08,0.0
$NCFI,2025-07-23,71.88,74.29,70.78,74.29,0.0
$NCFI,2025-07-24,71.38,71.78,68.57,68.57,0.0
$NCFI,2025-07-25,67.36,68.67,67.36,68.57,0.0
$NCFI,2025-07-28,69.27,69.67,66.86,66.86,0.0
$NCFI,2025-07-29,68.17,68.37,62.75,62.75,0.0
$NCFI,2025-07-30,64.05,65.66,56.22,58.13,0.0
$NCFI,2025-07-31,56.22,56.92,51.0,51.9,0.0
$NCFI,2025-08-01,40.66,45.48,40.66,44.35,0.0
$NCFI,2025-08-04,45.85,51.34,45.85,50.84,0.0
$NCFI,2025-08-05,50.94,51.34,47.55,51.24,0.0
$NCFI,2025-08-06,48.85,49.65,47.15,49.59,0.0
$NCFI,2025-08-07,53.0,53.0,46.0,48.0,0.0
$NCFI,2025-08-08,49.2,49.5,48.2,48.29,0.0
$NCFI,2025-08-11,49.2,49.2,45.79,46.34,0.0
$NCFI,2025-08-12,50.25,57.05,48.64,56.65,0.0
$NCFI,2025-08-13,60.76,64.86,60.36,64.66,0.0
$NCFI,2025-08-14,60.16,61.36,57.75,60.56,0.0
$NCFI,2025-08-15,59.95,59.95,57.05,57.65,0.0
$NCFI,2025-08-18,57.25,59.95,57.25,59.01,0.0
$NCFI,2025-08-19,59.11,62.02,56.61,57.31,0.0
$NCFI,2025-08-20,54.1,56.41,52.1,56.41,0.0
$NCFI,2025-08-21,53.4,57.01,53.4,56.26,0.0
$NCFI,2025-08-22,66.59,70.61,66.59,69.8,0.0
$NCFI,2025-08-25,68.4,68.4,64.99,64.99,0.0
$NCFI,2025-08-26,65.69,65.69,64.79,65.46,0.0
$NCFI,2025-08-27,65.96,68.27,65.96,67.57,0.0
$NCFI,2025-08-28,67.77,67.97,66.06,67.16,0.0
$NCFI,2025-08-29,66.76,66.86,64.05,64.95,0.0
$NCFI,2025-09-02,59.09,60.3,57.18,60.02,0.0
$NCFI,2025-09-03,60.92,61.12,58.51,60.58,0.0
$NCFI,2025-09-04,58.27,62.38,57.57,62.31,0.0
$NCFI,2025-09-05,65.42,65.42,61.7,63.91,0.0
$NCFI,2025-09-08,62.01,64.32,61.9,63.51,0.0
$NCFI,2025-09-09,62.81,62.81,61.2,62.41,0.0
$NCFI,2025-09-10,62.01,62.01,57.18,58.69,0.0
$NCFI,2025-09-11,61.5,64.72,61.5,64.62,0.0
$NCFI,2025-09-12,63.71,63.71,59.49,59.49,0.0
$NCFI,2025-09-15,60.8,61.6,57.88,58.09,0.0
$NCFI,2025-09-16,57.58,57.58,54.57,56.88,0.0
$NCFI,2025-09-17,60.2,66.33,58.09,58.29,0.0
$NCFI,2025-09-18,62.11,66.33,62.11,66.23,0.0
$NCFI,2025-09-19,64.92,66.43,62.51,62.51,0.0
$NCFI,2025-09-22,59.29,63.21,59.29,61.7,0.0
$NCFI,2025-09-23,66.23,66.23,60.3,60.3,0.0
$NCFI,2025-09-24,61.4,61.4,56.88,58.35,0.0
$NCFI,2025-09-25,53.82,55.93,51.1,53.47,0.0
$NCFI,2025-09-26,58.1,58.1,54.38,58.1,0.0
$NCFI,2025-09-29,57.4,57.4,54.88,56.19,0.0
$NCFI,2025-09-30,56.59,56.59,51.35,55.68,0.0
$NCFI,2025-10-01,55.28,56.75,52.56,55.86,0.0
$NCFI,2025-10-02,56.75,56.75,53.37,56.11,0.0
$NCFI,2025-10-03,59.4,62.18,59.2,59.2,0.0
$NCFI,2025-10-06,60.39,61.99,58.7,59.7,0.0
$NCFI,2025-10-07,59.6,59.6,54.12,54.92,0.0
$NCFI,2025-10-08,54.92,58.5,54.92,57.81,0.0
$NCFI,2025-10-09,57.81,57.81,53.53,53.68,0.0
$NCFI,2025-10-10,53.68,55.37,40.63,40.63,0.0
$NCFI,2025-10-13,44.12,46.41,44.02,46.11,0.0
$NCFI,2025-10-14,46.01,53.38,46.01,51.09,0.0
$NCFI,2025-10-15,53.78,54.88,47.9,50.69,0.0
$NCFI,2025-10-16,51.39,51.39,45.51,46.46,0.0
$NCFI,2025-10-17,45.86,46.75,44.46,45.76,0.0
$NCFI,2025-10-20,49.25,52.04,49.25,52.04,0.0
$NCFI,2025-10-21,51.04,55.33,50.64,54.59,0.0
$NCFI,2025-10-22,52.49,52.99,47.7,50.09,0.0
$NCFI,2025-10-23,51.99,54.49,50.69,52.89,0.0
$NCFI,2025-10-24,56.78,57.28,54.89,54.89,0.0
$NCFI,2025-10-27,58.88,59.08,56.88,57.58,0.0
$NCFI,2025-10-28,54.89,55.78,52.99,53.69,0.0
$NCFI,2025-10-29,51.99,54.19,46.1,47.09,0.0
$NCFI,2025-10-30,48.0,48.0,43.9,43.9,0.0
$NCFI,2025-10-31,44.59,46.59,44.09,45.86,0.0
$NCFI,2025-11-03,43.07,43.96,40.47,43.91,0.0
$NCFI,2025-11-04,41.11,42.21,38.72,39.52,0.0
$NCFI,2025-11-05,40.31,44.81,40.21,42.61,0.0
$NCFI,2025-11-06,43.11,43.11,38.72,38.72,0.0
$NCFI,2025-11-07,37.02,40.61,35.72,40.51,0.0
$NCFI,2025-11-10,43.21,44.81,41.51,44.11,0.0
$NCFI,2025-11-11,45.0,46.3,44.21,45.8,0.0
$NCFI,2025-11-12,49.3,49.3,47.3,47.4,0.0
$NCFI,2025-11-13,44.61,45.3,39.42,39.56,0.0
$NCFI,2025-11-14,36.06,39.76,36.06,38.36,0.0
$NCFI,2025-11-17,37.76,37.76,32.56,32.83,0.0
$NCFI,2025-11-18,32.63,34.63,32.23,33.33,0.0
$NCFI,2025-11-19,33.33,34.73,31.83,33.33,0.0
$NCFI,2025-11-20,37.23,38.23,29.42,29.42,0.0
$NCFI,2025-11-21,31.83,40.94,31.83,38.03,0.0
$NCFI,2025-11-24,37.33,40.64,37.33,39.73,0.0
$NCFI,2025-11-25,44.64,49.44,44.64,48.74,0.0
$NCFI,2025-11-26,50.45,53.05,50.15,50.95,0.0
$NCFI,2025-11-28,51.6,52.81,51.6,52.71,0.0
$NCFI,2025-12-01,49.29,52.71,49.29,49.79,0.0
$NCFI,2025-12-02,50.89,53.08,50.89,51.59,0.0
$NCFI,2025-12-03,53.28,56.07,53.28,55.57,0.0
