symbol,date,open,high,low,close,volume
$NCOH,2025-06-17,50.6,52.2,48.89,48.99,0.0
$NCOH,2025-06-18,50.6,51.6,49.89,50.0,0.0
$NCOH,2025-06-20,52.3,52.3,46.78,48.09,0.0
$NCOH,2025-06-23,47.28,52.3,46.58,52.3,0.0
$NCOH,2025-06-24,56.42,60.04,56.42,58.73,0.0
$NCOH,2025-06-25,56.52,56.92,55.62,55.62,0.0
$NCOH,2025-06-26,56.52,60.64,56.52,60.64,0.0
$NCOH,2025-06-27,60.84,61.84,59.33,60.64,0.0
$NCOH,2025-06-30,61.84,62.14,60.84,61.54,0.0
$NCOH,2025-07-01,61.54,71.48,61.54,70.68,0.0
$NCOH,2025-07-02,69.49,73.67,69.49,73.62,0.0
$NCOH,2025-07-03,74.82,75.62,74.82,75.4,0.0
$NCOH,2025-07-07,74.17,75.57,70.07,70.57,0.0
$NCOH,2025-07-08,71.97,75.57,71.97,74.27,0.0
$NCOH,2025-07-09,75.57,76.97,74.17,76.67,0.0
$NCOH,2025-07-10,75.77,79.37,75.67,77.47,0.0
$NCOH,2025-07-11,75.77,75.77,73.17,73.17,0.0
$NCOH,2025-07-14,73.07,75.07,73.07,74.67,0.0
$NCOH,2025-07-15,74.87,74.87,69.16,69.26,0.0
$NCOH,2025-07-16,71.87,71.87,68.56,71.37,0.0
$NCOH,2025-07-17,73.37,74.67,72.77,74.17,0.0
$NCOH,2025-07-18,75.27,75.27,72.17,72.41,0.0
$NCOH,2025-07-21,73.62,74.82,71.78,71.78,0.0
$NCOH,2025-07-22,75.4,76.6,75.1,76.3,0.0
$NCOH,2025-07-23,77.51,79.51,77.2,79.41,0.0
$NCOH,2025-07-24,77.91,78.11,74.89,74.89,0.0
$NCOH,2025-07-25,74.59,75.5,74.59,75.1,0.0
$NCOH,2025-07-28,75.0,75.8,74.89,75.0,0.0
$NCOH,2025-07-29,74.89,74.89,71.18,71.68,0.0
$NCOH,2025-07-30,72.48,73.29,66.86,67.67,0.0
$NCOH,2025-07-31,66.66,66.66,62.95,63.45,0.0
$NCOH,2025-08-01,56.62,58.73,56.22,58.14,0.0
$NCOH,2025-08-04,59.44,64.03,59.44,63.83,0.0
$NCOH,2025-08-05,64.03,64.03,61.53,63.63,0.0
