symbol,date,open,high,low,close,volume
$NCTH,2025-06-16,44.87,46.68,44.87,45.68,0.0
$NCTH,2025-06-17,45.48,45.78,43.57,43.77,0.0
$NCTH,2025-06-18,45.88,46.08,44.27,44.57,0.0
$NCTH,2025-06-20,46.08,46.08,42.97,43.67,0.0
$NCTH,2025-06-23,43.37,44.97,41.46,44.97,0.0
$NCTH,2025-06-24,46.98,48.79,46.78,48.19,0.0
$NCTH,2025-06-25,46.98,47.59,46.58,47.18,0.0
$NCTH,2025-06-26,47.79,49.79,47.69,49.79,0.0
$NCTH,2025-06-27,50.1,51.4,48.19,50.2,0.0
$NCTH,2025-06-30,50.9,51.0,50.2,50.5,0.0
$NCTH,2025-07-01,49.39,57.12,49.39,57.02,0.0
$NCTH,2025-07-02,56.53,60.21,56.53,59.74,0.0
$NCTH,2025-07-03,61.63,62.53,61.43,61.9,0.0
$NCTH,2025-07-07,60.56,61.66,57.65,58.55,0.0
$NCTH,2025-07-08,58.75,61.56,58.75,60.26,0.0
$NCTH,2025-07-09,61.96,62.46,60.26,62.46,0.0
$NCTH,2025-07-10,62.16,64.76,62.16,63.46,0.0
$NCTH,2025-07-11,61.46,61.46,59.85,60.16,0.0
$NCTH,2025-07-14,59.95,61.26,59.95,61.16,0.0
$NCTH,2025-07-15,61.46,61.46,56.25,56.25,0.0
$NCTH,2025-07-16,57.55,57.85,55.35,57.35,0.0
$NCTH,2025-07-17,59.25,61.06,59.25,60.46,0.0
$NCTH,2025-07-18,61.66,61.66,59.65,59.97,0.0
$NCTH,2025-07-21,61.08,61.98,59.73,59.73,0.0
$NCTH,2025-07-22,60.34,62.85,60.34,62.14,0.0
$NCTH,2025-07-23,63.65,63.75,62.34,63.75,0.0
$NCTH,2025-07-24,61.54,62.34,60.04,60.04,0.0
$NCTH,2025-07-25,58.13,59.73,58.13,59.63,0.0
$NCTH,2025-07-28,60.54,60.94,59.43,59.83,0.0
$NCTH,2025-07-29,59.63,59.63,56.62,56.82,0.0
$NCTH,2025-07-30,58.23,58.83,54.11,54.61,0.0
$NCTH,2025-07-31,54.21,54.51,51.6,51.6,0.0
$NCTH,2025-08-01,47.08,48.99,47.08,48.15,0.0
$NCTH,2025-08-04,48.65,51.44,48.65,51.44,0.0
$NCTH,2025-08-05,52.94,52.94,50.84,52.04,0.0
$NCTH,2025-08-06,51.44,51.94,50.74,51.09,0.0
$NCTH,2025-08-07,53.5,53.5,50.2,51.5,0.0
$NCTH,2025-08-08,52.09,52.5,51.2,52.2,0.0
$NCTH,2025-08-11,52.7,52.7,50.59,50.85,0.0
$NCTH,2025-08-12,53.05,57.25,52.35,56.75,0.0
$NCTH,2025-08-13,59.55,62.76,59.55,62.76,0.0
$NCTH,2025-08-14,59.65,60.26,57.85,59.85,0.0
$NCTH,2025-08-15,60.66,60.66,58.05,58.15,0.0
$NCTH,2025-08-18,58.45,59.95,58.45,59.41,0.0
$NCTH,2025-08-19,60.22,61.32,58.61,58.61,0.0
$NCTH,2025-08-20,58.01,58.81,57.01,58.61,0.0
$NCTH,2025-08-21,56.91,58.51,56.91,57.67,0.0
$NCTH,2025-08-22,63.99,67.5,63.99,66.7,0.0
$NCTH,2025-08-25,66.19,66.19,63.18,63.18,0.0
$NCTH,2025-08-26,63.99,64.09,63.28,63.55,0.0
$NCTH,2025-08-27,64.25,65.86,64.25,65.26,0.0
$NCTH,2025-08-28,65.26,65.96,64.35,65.86,0.0
$NCTH,2025-08-29,66.06,66.06,64.65,65.16,0.0
$NCTH,2025-09-02,63.21,63.71,61.7,63.52,0.0
$NCTH,2025-09-03,64.32,64.52,62.72,63.99,0.0
$NCTH,2025-09-04,63.18,65.82,63.18,65.82,0.0
