symbol,date,open,high,low,close,volume
$NCTW,2023-11-22,78.6,78.6,75.78,77.39,0.0
$NCTW,2023-11-24,77.39,79.91,77.39,79.21,0.0
$NCTW,2023-11-27,79.21,79.21,73.25,73.56,0.0
$NCTW,2023-11-28,73.56,73.86,67.4,71.03,0.0
$NCTW,2023-11-29,76.58,77.19,70.93,70.93,0.0
$NCTW,2023-11-30,70.93,72.55,68.11,70.13,0.0
$NCTW,2023-12-01,70.13,82.34,66.7,82.24,0.0
$NCTW,2023-12-04,82.13,83.55,80.32,83.16,0.0
$NCTW,2023-12-05,83.16,83.16,74.79,75.2,0.0
$NCTW,2023-12-06,75.2,79.03,73.28,73.28,0.0
$NCTW,2023-12-07,71.57,73.68,71.57,73.68,0.0
$NCTW,2023-12-08,71.57,75.3,71.57,74.57,0.0
$NCTW,2023-12-11,74.57,75.58,72.65,75.47,0.0
$NCTW,2023-12-12,75.47,75.47,68.51,72.25,0.0
$NCTW,2023-12-13,72.25,83.85,69.32,83.85,0.0
$NCTW,2023-12-14,83.85,88.9,83.55,85.87,0.0
$NCTW,2023-12-15,85.87,85.87,80.92,81.83,0.0
$NCTW,2023-12-18,81.83,83.75,80.9,80.9,0.0
$NCTW,2023-12-19,80.9,87.57,80.9,87.27,0.0
$NCTW,2023-12-20,87.27,87.27,78.08,78.26,0.0
$NCTW,2023-12-21,81.49,84.32,80.18,83.9,0.0
$NCTW,2023-12-22,83.9,87.04,83.9,85.42,0.0
$NCTW,2023-12-26,85.42,88.15,84.91,87.14,0.0
$NCTW,2023-12-27,87.14,87.14,84.41,85.62,0.0
$NCTW,2023-12-28,85.62,87.34,85.62,86.42,0.0
$NCTW,2023-12-29,86.42,86.42,79.53,80.95,0.0
$NCTW,2024-01-02,80.93,80.93,66.12,70.18,0.0
$NCTW,2024-01-03,70.18,70.18,41.68,41.68,0.0
$NCTW,2024-01-04,41.68,44.72,40.06,40.06,0.0
$NCTW,2024-01-05,32.75,43.5,32.75,36.71,0.0
$NCTW,2024-01-08,31.84,48.98,31.84,48.98,0.0
$NCTW,2024-01-09,48.98,48.98,35.39,39.35,0.0
$NCTW,2024-01-10,39.35,39.35,34.17,38.74,0.0
$NCTW,2024-01-11,33.87,33.97,26.26,33.56,0.0
$NCTW,2024-01-12,40.56,40.56,32.65,34.38,0.0
$NCTW,2024-01-16,34.38,34.38,26.47,29.61,0.0
$NCTW,2024-01-17,22.81,24.03,21.8,23.83,0.0
$NCTW,2024-01-18,23.83,29.1,23.02,29.1,0.0
$NCTW,2024-01-19,29.1,36.51,27.78,36.51,0.0
$NCTW,2024-01-22,36.51,50.6,36.51,50.2,0.0
$NCTW,2024-01-23,50.2,56.28,46.65,48.68,0.0
$NCTW,2024-01-24,48.68,57.3,44.92,44.97,0.0
$NCTW,2024-01-25,44.97,53.7,44.97,50.86,0.0
$NCTW,2024-01-26,50.86,57.66,50.76,51.57,0.0
$NCTW,2024-01-29,51.57,65.58,51.57,65.58,0.0
$NCTW,2024-01-30,65.58,65.58,55.53,56.85,0.0
$NCTW,2024-01-31,56.85,56.85,38.27,38.27,0.0
$NCTW,2024-02-01,38.27,49.54,35.02,49.34,0.0
$NCTW,2024-02-02,49.34,49.34,38.47,44.36,0.0
$NCTW,2024-02-05,44.36,44.36,31.57,36.24,0.0
$NCTW,2024-02-06,36.24,46.81,36.24,46.59,0.0
$NCTW,2024-02-07,46.81,48.02,42.06,46.1,0.0
$NCTW,2024-02-08,46.1,55.1,45.8,55.0,0.0
$NCTW,2024-02-09,55.0,61.47,55.0,61.27,0.0
$NCTW,2024-02-12,61.27,71.38,61.27,69.86,0.0
$NCTW,2024-02-13,69.86,69.86,38.72,42.46,0.0
$NCTW,2024-02-14,42.46,56.82,42.46,56.78,0.0
$NCTW,2024-02-15,64.77,67.2,59.51,66.59,0.0
$NCTW,2024-02-16,66.59,66.59,59.21,59.21,0.0
$NCTW,2024-02-20,59.21,59.21,52.73,53.03,0.0
$NCTW,2024-02-21,53.03,53.03,44.83,49.19,0.0
$NCTW,2024-02-22,49.19,53.44,48.27,51.72,0.0
$NCTW,2024-02-23,51.72,56.98,51.21,52.73,0.0
$NCTW,2024-02-26,52.73,57.28,52.73,54.2,0.0
$NCTW,2024-02-27,54.2,61.19,54.2,59.97,0.0
$NCTW,2024-02-28,59.97,59.97,54.0,54.56,0.0
$NCTW,2024-02-29,54.56,62.88,53.95,55.83,0.0
$NCTW,2024-03-01,55.83,60.0,52.58,58.88,0.0
$NCTW,2024-03-04,59.29,59.49,54.24,55.75,0.0
$NCTW,2024-03-05,55.75,55.75,47.47,49.29,0.0
$NCTW,2024-03-06,49.29,53.73,49.29,52.78,0.0
$NCTW,2024-03-07,52.78,57.53,52.78,56.11,0.0
$NCTW,2024-03-08,56.11,62.58,53.69,55.71,0.0
$NCTW,2024-03-11,55.71,55.71,51.16,53.94,0.0
$NCTW,2024-03-12,53.94,53.94,48.07,51.67,0.0
$NCTW,2024-03-13,51.67,54.4,46.4,47.26,0.0
$NCTW,2024-03-14,44.42,44.42,30.73,34.07,0.0
$NCTW,2024-03-15,34.07,37.11,32.96,33.77,0.0
$NCTW,2024-03-18,33.77,37.72,32.45,32.65,0.0
$NCTW,2024-03-19,32.65,38.33,32.65,37.6,0.0
$NCTW,2024-03-20,37.6,52.33,35.56,52.33,0.0
$NCTW,2024-03-21,61.38,61.38,57.21,57.41,0.0
$NCTW,2024-03-22,57.41,57.41,47.45,47.45,0.0
$NCTW,2024-03-25,47.45,51.62,45.57,45.57,0.0
$NCTW,2024-03-26,45.57,49.94,42.62,42.72,0.0
$NCTW,2024-03-27,42.72,62.47,42.72,62.47,0.0
$NCTW,2024-03-28,62.47,68.76,62.47,64.4,0.0
$NCTW,2024-04-01,64.4,64.4,55.07,57.91,0.0
$NCTW,2024-04-02,57.91,57.91,37.32,40.66,0.0
$NCTW,2024-04-03,40.66,43.91,37.01,42.31,0.0
$NCTW,2024-04-04,42.31,54.83,32.04,33.97,0.0
$NCTW,2024-04-05,33.97,41.91,33.26,38.28,0.0
$NCTW,2024-04-08,38.28,48.57,38.28,45.21,0.0
$NCTW,2024-04-09,45.21,53.81,45.21,53.61,0.0
$NCTW,2024-04-10,53.61,53.61,26.65,29.19,0.0
$NCTW,2024-04-11,29.19,35.8,26.34,34.89,0.0
$NCTW,2024-04-12,24.41,24.41,16.78,18.41,0.0
$NCTW,2024-04-15,18.41,18.41,11.39,11.69,0.0
$NCTW,2024-04-16,11.69,13.22,9.05,12.51,0.0
$NCTW,2024-04-17,12.41,14.64,9.15,9.15,0.0
$NCTW,2024-04-18,10.07,14.03,9.56,9.76,0.0
$NCTW,2024-04-19,9.76,15.36,9.76,15.25,0.0
$NCTW,2024-04-22,15.25,24.92,15.25,21.77,0.0
$NCTW,2024-04-23,25.33,37.33,25.33,34.82,0.0
$NCTW,2024-04-24,34.82,35.84,29.22,33.29,0.0
$NCTW,2024-04-25,27.18,31.36,25.05,31.16,0.0
$NCTW,2024-04-26,40.02,41.34,37.27,39.4,0.0
$NCTW,2024-04-29,39.4,47.65,39.4,44.9,0.0
$NCTW,2024-04-30,44.9,44.9,32.07,32.07,0.0
$NCTW,2024-05-01,32.07,54.98,32.07,40.22,0.0
$NCTW,2024-05-02,46.23,53.76,42.97,53.05,0.0
$NCTW,2024-05-03,67.0,69.04,60.99,62.21,0.0
$NCTW,2024-05-06,64.63,73.12,64.63,72.52,0.0
$NCTW,2024-05-07,72.52,75.42,72.42,72.42,0.0
$NCTW,2024-05-08,72.42,72.42,65.83,67.83,0.0
$NCTW,2024-05-09,67.83,72.12,67.43,71.82,0.0
$NCTW,2024-05-10,71.82,72.42,66.73,67.23,0.0
$NCTW,2024-05-13,67.23,74.32,67.23,67.73,0.0
$NCTW,2024-05-14,67.73,73.62,67.73,70.72,0.0
$NCTW,2024-05-15,74.02,74.02,71.32,73.02,0.0
$NCTW,2024-05-16,73.02,73.52,69.93,71.72,0.0
$NCTW,2024-05-17,71.72,71.72,68.33,69.63,0.0
$NCTW,2024-05-20,69.63,69.83,66.83,68.06,0.0
$NCTW,2024-05-21,68.06,68.06,61.86,62.86,0.0
$NCTW,2024-05-22,62.86,63.06,54.95,57.85,0.0
$NCTW,2024-05-23,49.04,49.64,40.04,41.84,0.0
$NCTW,2024-05-24,41.84,46.14,41.84,45.54,0.0
$NCTW,2024-05-28,45.54,45.54,39.83,41.94,0.0
$NCTW,2024-05-29,41.94,41.94,30.63,30.63,0.0
$NCTW,2024-05-30,30.63,35.73,30.63,34.03,0.0
$NCTW,2024-05-31,38.63,39.22,30.63,39.12,0.0
$NCTW,2024-06-03,39.12,40.21,33.03,38.46,0.0
$NCTW,2024-06-04,38.46,38.46,31.66,32.66,0.0
$NCTW,2024-06-05,32.66,40.85,32.66,40.79,0.0
$NCTW,2024-06-06,38.9,40.2,36.7,37.83,0.0
$NCTW,2024-06-07,37.83,37.83,31.33,31.33,0.0
$NCTW,2024-06-10,31.33,34.93,27.12,34.93,0.0
$NCTW,2024-06-11,34.93,34.93,27.62,32.23,0.0
$NCTW,2024-06-12,51.35,51.35,40.74,43.24,0.0
$NCTW,2024-06-13,43.24,43.24,33.53,37.17,0.0
$NCTW,2024-06-14,37.17,37.17,27.35,29.65,0.0
$NCTW,2024-06-17,29.65,34.66,27.35,34.56,0.0
$NCTW,2024-06-18,38.07,38.97,34.36,36.57,0.0
$NCTW,2024-06-20,36.57,39.77,35.67,36.77,0.0
$NCTW,2024-06-21,36.77,41.08,36.77,41.08,0.0
$NCTW,2024-06-24,41.08,53.4,41.08,47.19,0.0
$NCTW,2024-06-25,47.19,47.19,40.18,42.58,0.0
$NCTW,2024-06-26,42.58,44.38,37.07,44.08,0.0
$NCTW,2024-06-27,44.08,50.6,44.08,50.6,0.0
$NCTW,2024-06-28,50.6,57.51,50.6,54.7,0.0
$NCTW,2024-07-01,54.7,57.41,48.09,49.45,0.0
$NCTW,2024-07-02,49.45,53.74,49.45,53.54,0.0
$NCTW,2024-07-03,53.54,58.64,53.54,55.09,0.0
$NCTW,2024-07-05,55.05,55.05,49.34,52.85,0.0
$NCTW,2024-07-08,52.85,61.16,52.85,58.25,0.0
$NCTW,2024-07-09,58.25,58.25,51.05,54.95,0.0
$NCTW,2024-07-10,54.95,61.56,54.95,61.56,0.0
$NCTW,2024-07-11,61.56,77.87,61.56,76.97,0.0
$NCTW,2024-07-12,76.97,84.98,76.97,82.98,0.0
$NCTW,2024-07-15,83.78,86.18,82.08,82.58,0.0
$NCTW,2024-07-16,82.58,88.88,82.58,88.88,0.0
$NCTW,2024-07-17,88.88,88.88,82.58,82.68,0.0
$NCTW,2024-07-18,82.68,83.78,74.37,75.27,0.0
$NCTW,2024-07-19,75.27,75.27,67.96,69.46,0.0
$NCTW,2024-07-22,69.56,76.47,68.26,76.47,0.0
$NCTW,2024-07-23,76.47,77.17,74.37,75.17,0.0
$NCTW,2024-07-24,75.17,75.17,61.96,61.96,0.0
$NCTW,2024-07-25,62.86,70.87,61.76,63.26,0.0
$NCTW,2024-07-26,63.26,69.16,63.26,68.86,0.0
$NCTW,2024-07-29,68.86,70.57,64.46,65.73,0.0
$NCTW,2024-07-30,65.73,65.93,60.52,61.72,0.0
$NCTW,2024-07-31,61.72,69.36,61.72,63.56,0.0
$NCTW,2024-08-01,63.56,63.66,44.54,47.04,0.0
$NCTW,2024-08-02,47.04,47.04,23.42,28.85,0.0
$NCTW,2024-08-05,28.85,28.85,13.42,14.62,0.0
$NCTW,2024-08-06,14.52,22.14,14.52,18.75,0.0
$NCTW,2024-08-07,23.26,24.27,16.24,16.64,0.0
$NCTW,2024-08-08,22.86,26.98,22.86,26.07,0.0
$NCTW,2024-08-09,25.87,27.58,25.07,27.48,0.0
$NCTW,2024-08-12,27.48,27.48,24.07,25.27,0.0
$NCTW,2024-08-13,25.27,34.2,25.27,34.2,0.0
$NCTW,2024-08-14,34.2,35.4,32.09,33.7,0.0
$NCTW,2024-08-15,43.73,50.55,43.73,48.34,0.0
$NCTW,2024-08-16,48.34,52.35,48.24,51.05,0.0
$NCTW,2024-08-19,51.15,63.79,51.15,63.79,0.0
$NCTW,2024-08-20,63.79,63.79,53.96,55.52,0.0
$NCTW,2024-08-21,55.52,66.76,55.52,66.76,0.0
$NCTW,2024-08-22,66.26,66.26,59.93,59.93,0.0
$NCTW,2024-08-23,59.93,80.12,59.93,79.11,0.0
$NCTW,2024-08-26,79.11,82.83,78.41,78.41,0.0
$NCTW,2024-08-27,78.41,78.41,74.39,76.5,0.0
$NCTW,2024-08-28,76.5,76.7,69.67,72.28,0.0
$NCTW,2024-08-29,72.28,83.03,72.28,78.21,0.0
$NCTW,2024-08-30,78.21,80.32,74.89,79.81,0.0
$NCTW,2024-09-03,66.36,66.36,55.52,56.32,0.0
$NCTW,2024-09-04,54.79,60.74,52.87,55.6,0.0
$NCTW,2024-09-05,51.76,51.76,45.3,49.14,0.0
$NCTW,2024-09-06,49.84,49.84,28.75,29.36,0.0
$NCTW,2024-09-09,30.17,38.24,30.17,32.79,0.0
$NCTW,2024-09-10,29.66,33.29,24.11,32.59,0.0
$NCTW,2024-09-11,25.93,33.9,20.88,33.77,0.0
$NCTW,2024-09-12,30.94,41.15,30.83,39.63,0.0
$NCTW,2024-09-13,50.45,57.12,50.45,55.91,0.0
$NCTW,2024-09-16,59.25,61.77,55.91,61.17,0.0
$NCTW,2024-09-17,67.54,72.69,64.1,65.52,0.0
$NCTW,2024-09-18,66.93,76.44,61.47,62.79,0.0
$NCTW,2024-09-19,76.74,79.27,74.31,76.74,0.0
$NCTW,2024-09-20,72.39,72.39,67.13,67.64,0.0
$NCTW,2024-09-23,70.17,70.17,64.5,65.41,0.0
$NCTW,2024-09-24,69.86,69.86,63.09,65.11,0.0
$NCTW,2024-09-25,63.9,64.5,57.33,57.33,0.0
$NCTW,2024-09-26,66.43,66.93,63.39,64.61,0.0
$NCTW,2024-09-27,69.86,73.71,66.83,68.25,0.0
$NCTW,2024-09-30,67.13,71.68,64.81,70.67,0.0
$NCTW,2024-10-01,56.11,57.43,50.25,54.6,0.0
$NCTW,2024-10-03,45.05,49.75,44.46,46.13,0.0
$NCTW,2024-10-04,55.53,55.92,49.85,55.92,0.0
$NCTW,2024-10-07,46.32,46.71,40.74,42.94,0.0
$NCTW,2024-10-08,41.17,46.37,41.17,44.5,0.0
$NCTW,2024-10-09,40.98,51.47,40.98,46.66,0.0
$NCTW,2024-10-10,36.86,41.86,36.86,41.86,0.0
$NCTW,2024-10-11,48.52,60.29,48.52,60.0,0.0
$NCTW,2024-10-14,57.35,63.92,57.35,63.62,0.0
$NCTW,2024-10-15,62.54,68.43,62.54,63.43,0.0
$NCTW,2024-10-16,66.17,71.56,66.17,70.09,0.0
$NCTW,2024-10-17,68.92,69.8,65.49,68.13,0.0
$NCTW,2024-10-18,70.58,70.58,68.92,69.31,0.0
$NCTW,2024-10-21,67.35,67.94,55.88,56.27,0.0
$NCTW,2024-10-22,53.62,56.17,50.68,55.98,0.0
$NCTW,2024-10-23,52.35,52.35,41.37,47.54,0.0
$NCTW,2024-10-24,50.09,50.49,43.72,46.47,0.0
$NCTW,2024-10-25,51.86,56.96,46.27,46.47,0.0
$NCTW,2024-10-28,56.07,62.15,56.07,58.33,0.0
$NCTW,2024-10-29,56.17,58.43,55.88,58.33,0.0
$NCTW,2024-10-30,56.47,62.54,55.39,55.39,0.0
$NCTW,2024-10-31,51.17,51.17,40.98,40.98,0.0
$NCTW,2024-11-01,49.01,51.07,44.07,45.44,0.0
$NCTW,2024-11-04,42.25,49.6,42.25,45.19,0.0
$NCTW,2024-11-05,49.7,57.94,49.7,57.94,0.0
$NCTW,2024-11-06,70.19,73.33,70.09,72.78,0.0
$NCTW,2024-11-07,74.16,76.62,73.67,73.67,0.0
$NCTW,2024-11-08,70.23,72.49,70.23,72.0,0.0
$NCTW,2024-11-11,74.95,74.95,72.0,72.0,0.0
$NCTW,2024-11-12,71.51,71.51,66.5,67.19,0.0
$NCTW,2024-11-13,68.36,68.36,63.35,63.45,0.0
$NCTW,2024-11-14,63.35,63.35,58.8,58.8,0.0
$NCTW,2024-11-15,55.85,55.85,48.27,49.06,0.0
$NCTW,2024-11-18,49.65,51.22,46.9,48.47,0.0
$NCTW,2024-11-19,43.55,50.04,43.55,49.26,0.0
$NCTW,2024-11-20,47.48,49.95,45.71,49.95,0.0
$NCTW,2024-11-21,50.54,59.6,50.54,58.18,0.0
$NCTW,2024-11-22,60.74,65.77,60.74,64.99,0.0
$NCTW,2024-11-25,71.59,75.24,71.4,72.68,0.0
$NCTW,2024-11-26,68.34,68.34,68.34,68.34,0.0
$NCTW,2024-11-27,70.51,71.89,70.21,71.4,0.0
$NCTW,2024-11-29,74.26,75.04,73.27,73.27,0.0
$NCTW,2024-12-02,69.62,75.68,69.62,74.21,0.0
$NCTW,2024-12-03,67.71,67.71,60.62,60.72,0.0
