symbol,date,open,high,low,close,volume
$NDFI,2023-11-24,72.27,74.25,72.27,73.26,0.0
$NDFI,2023-11-27,73.26,76.23,70.29,73.26,0.0
$NDFI,2023-11-28,73.26,77.22,71.28,75.24,0.0
$NDFI,2023-11-29,76.23,76.23,72.27,72.27,0.0
$NDFI,2023-11-30,72.27,73.26,69.3,71.28,0.0
$NDFI,2023-12-01,71.28,77.22,71.28,77.22,0.0
$NDFI,2023-12-04,75.24,76.23,72.27,75.24,0.0
$NDFI,2023-12-05,75.24,75.24,70.29,72.27,0.0
$NDFI,2023-12-06,72.27,74.25,69.3,69.3,0.0
$NDFI,2023-12-07,73.26,77.22,73.26,76.23,0.0
$NDFI,2023-12-08,73.26,77.22,73.26,77.22,0.0
$NDFI,2023-12-11,77.22,85.14,77.22,85.14,0.0
$NDFI,2023-12-12,85.14,85.14,81.18,84.15,0.0
$NDFI,2023-12-13,84.15,90.09,83.16,90.09,0.0
$NDFI,2023-12-14,90.09,91.08,87.12,88.11,0.0
$NDFI,2023-12-15,88.11,90.09,88.11,90.09,0.0
$NDFI,2023-12-18,90.09,95.04,90.09,92.0,0.0
$NDFI,2023-12-19,92.0,95.0,92.0,93.0,0.0
$NDFI,2023-12-20,93.0,96.0,89.0,89.0,0.0
$NDFI,2023-12-21,90.0,91.0,88.0,91.0,0.0
$NDFI,2023-12-22,91.0,94.0,90.0,92.0,0.0
$NDFI,2023-12-26,92.0,94.0,92.0,93.0,0.0
$NDFI,2023-12-27,93.0,94.0,92.0,92.0,0.0
$NDFI,2023-12-28,92.0,94.0,91.0,92.0,0.0
$NDFI,2023-12-29,92.0,93.06,90.0,92.0,0.0
$NDFI,2024-01-02,93.06,93.06,86.13,87.12,0.0
$NDFI,2024-01-03,87.12,87.12,84.15,85.14,0.0
$NDFI,2024-01-04,85.14,86.13,81.18,81.18,0.0
$NDFI,2024-01-05,83.16,83.16,77.22,79.2,0.0
$NDFI,2024-01-08,78.21,84.15,78.21,84.15,0.0
$NDFI,2024-01-09,84.15,84.15,78.21,80.19,0.0
$NDFI,2024-01-10,80.19,80.19,75.24,78.21,0.0
$NDFI,2024-01-11,80.19,80.19,75.24,79.2,0.0
$NDFI,2024-01-12,81.18,81.18,76.23,81.18,0.0
$NDFI,2024-01-16,81.18,81.18,73.26,78.21,0.0
$NDFI,2024-01-17,66.33,72.27,66.33,72.27,0.0
$NDFI,2024-01-18,72.27,77.22,71.28,77.22,0.0
$NDFI,2024-01-19,77.22,82.17,76.23,82.17,0.0
$NDFI,2024-01-22,82.17,86.13,82.17,83.16,0.0
$NDFI,2024-01-23,83.16,84.15,82.17,84.15,0.0
$NDFI,2024-01-24,84.15,84.15,79.2,79.2,0.0
$NDFI,2024-01-25,79.2,85.14,79.2,83.16,0.0
$NDFI,2024-01-26,83.16,83.16,76.23,76.23,0.0
$NDFI,2024-01-29,76.23,84.15,74.25,84.15,0.0
$NDFI,2024-01-30,84.15,84.15,74.25,78.21,0.0
$NDFI,2024-01-31,78.21,78.21,70.29,70.29,0.0
$NDFI,2024-02-01,70.29,75.24,62.37,75.24,0.0
$NDFI,2024-02-02,75.24,75.24,60.39,69.3,0.0
$NDFI,2024-02-05,69.3,69.3,66.33,68.31,0.0
$NDFI,2024-02-06,68.31,73.26,67.32,73.26,0.0
$NDFI,2024-02-07,73.26,76.23,69.3,73.26,0.0
$NDFI,2024-02-08,73.26,73.26,67.32,71.28,0.0
$NDFI,2024-02-09,71.28,71.28,66.33,67.32,0.0
$NDFI,2024-02-12,67.32,69.3,65.34,67.32,0.0
$NDFI,2024-02-13,67.32,67.32,56.43,59.4,0.0
$NDFI,2024-02-14,59.4,63.36,59.4,63.36,0.0
$NDFI,2024-02-15,62.37,64.35,62.37,63.36,0.0
$NDFI,2024-02-16,63.36,63.36,59.4,59.4,0.0
$NDFI,2024-02-20,59.4,61.38,56.43,61.38,0.0
$NDFI,2024-02-21,61.38,62.37,54.45,62.37,0.0
$NDFI,2024-02-22,62.37,67.32,62.37,65.34,0.0
$NDFI,2024-02-23,68.31,68.31,64.35,64.35,0.0
$NDFI,2024-02-26,64.35,66.33,58.41,59.4,0.0
$NDFI,2024-02-27,59.4,63.36,59.4,61.38,0.0
$NDFI,2024-02-28,61.38,61.38,58.41,59.4,0.0
$NDFI,2024-02-29,59.4,65.34,57.42,62.37,0.0
$NDFI,2024-03-01,62.37,64.35,57.42,64.35,0.0
$NDFI,2024-03-04,64.35,64.35,61.38,63.36,0.0
$NDFI,2024-03-05,63.36,63.36,48.51,50.49,0.0
$NDFI,2024-03-06,50.49,58.41,50.49,54.45,0.0
$NDFI,2024-03-07,54.45,63.36,54.45,61.38,0.0
$NDFI,2024-03-08,61.38,61.38,57.42,58.41,0.0
$NDFI,2024-03-11,58.41,63.36,57.42,63.36,0.0
$NDFI,2024-03-12,63.36,63.36,58.41,61.38,0.0
$NDFI,2024-03-13,61.38,63.36,57.42,61.38,0.0
$NDFI,2024-03-14,56.43,59.4,54.45,58.41,0.0
$NDFI,2024-03-15,58.41,58.41,51.48,52.47,0.0
$NDFI,2024-03-18,52.47,57.42,52.47,53.46,0.0
$NDFI,2024-03-19,53.46,55.44,50.49,55.0,0.0
$NDFI,2024-03-20,55.0,61.0,54.0,61.0,0.0
$NDFI,2024-03-21,65.0,65.0,63.0,63.0,0.0
$NDFI,2024-03-22,63.0,63.0,58.0,60.0,0.0
$NDFI,2024-03-25,60.0,60.0,56.0,56.0,0.0
$NDFI,2024-03-26,56.0,57.0,55.0,55.0,0.0
$NDFI,2024-03-27,55.0,61.38,55.0,61.38,0.0
$NDFI,2024-03-28,61.38,69.3,61.38,67.32,0.0
$NDFI,2024-04-01,67.32,67.32,58.41,58.41,0.0
$NDFI,2024-04-02,58.41,58.41,49.5,53.46,0.0
$NDFI,2024-04-03,53.46,53.46,49.5,51.48,0.0
$NDFI,2024-04-04,51.48,56.43,46.53,46.53,0.0
$NDFI,2024-04-05,46.53,53.46,46.53,51.48,0.0
$NDFI,2024-04-08,51.48,52.47,50.49,50.49,0.0
$NDFI,2024-04-09,50.49,53.46,48.51,52.47,0.0
$NDFI,2024-04-10,52.47,52.47,44.55,46.53,0.0
$NDFI,2024-04-11,46.53,53.46,44.55,50.49,0.0
$NDFI,2024-04-12,41.58,41.58,34.65,34.65,0.0
$NDFI,2024-04-15,34.65,39.6,25.74,27.72,0.0
$NDFI,2024-04-16,27.72,34.65,26.73,29.7,0.0
$NDFI,2024-04-17,29.7,29.7,20.79,22.77,0.0
$NDFI,2024-04-18,22.77,23.76,20.79,21.78,0.0
$NDFI,2024-04-19,21.78,21.78,15.84,17.82,0.0
$NDFI,2024-04-22,17.82,21.78,16.83,18.81,0.0
$NDFI,2024-04-23,19.8,27.72,19.8,24.75,0.0
$NDFI,2024-04-24,24.75,31.68,24.75,30.69,0.0
$NDFI,2024-04-25,27.72,29.7,22.77,27.72,0.0
$NDFI,2024-04-26,31.68,37.62,31.68,37.62,0.0
$NDFI,2024-04-29,37.62,41.58,37.62,41.58,0.0
$NDFI,2024-04-30,41.58,41.58,30.69,30.69,0.0
$NDFI,2024-05-01,30.69,38.61,27.72,30.69,0.0
$NDFI,2024-05-02,30.69,34.65,28.71,34.65,0.0
$NDFI,2024-05-03,40.59,40.59,37.62,38.61,0.0
$NDFI,2024-05-06,38.61,43.56,38.61,43.56,0.0
$NDFI,2024-05-07,43.56,49.5,42.57,45.54,0.0
$NDFI,2024-05-08,45.54,46.53,42.57,42.57,0.0
$NDFI,2024-05-09,42.57,47.52,40.59,45.54,0.0
$NDFI,2024-05-10,45.54,50.49,45.54,45.54,0.0
$NDFI,2024-05-13,45.54,52.47,45.54,48.51,0.0
$NDFI,2024-05-14,48.51,53.46,45.54,51.48,0.0
$NDFI,2024-05-15,54.45,55.44,52.47,55.44,0.0
$NDFI,2024-05-16,55.44,56.43,53.46,55.44,0.0
$NDFI,2024-05-17,55.44,56.43,54.45,54.45,0.0
$NDFI,2024-05-20,54.45,58.41,54.45,58.41,0.0
$NDFI,2024-05-21,58.41,58.41,54.45,56.43,0.0
$NDFI,2024-05-22,56.43,57.42,54.45,55.44,0.0
$NDFI,2024-05-23,56.43,59.4,50.49,51.48,0.0
$NDFI,2024-05-24,51.48,56.43,51.48,53.46,0.0
$NDFI,2024-05-28,53.46,53.46,45.54,47.52,0.0
$NDFI,2024-05-29,47.52,47.52,44.55,44.55,0.0
$NDFI,2024-05-30,44.55,47.52,44.55,45.54,0.0
$NDFI,2024-05-31,47.52,47.52,39.6,47.52,0.0
$NDFI,2024-06-03,47.52,47.52,40.59,44.55,0.0
$NDFI,2024-06-04,44.55,49.5,41.58,45.54,0.0
$NDFI,2024-06-05,45.54,51.48,45.54,51.48,0.0
$NDFI,2024-06-06,55.44,58.41,54.45,55.44,0.0
$NDFI,2024-06-07,55.44,57.42,55.44,55.44,0.0
$NDFI,2024-06-10,55.44,55.44,53.46,54.45,0.0
$NDFI,2024-06-11,54.45,55.44,52.47,55.44,0.0
$NDFI,2024-06-12,58.41,58.41,54.45,56.43,0.0
$NDFI,2024-06-13,56.43,58.41,51.48,56.43,0.0
$NDFI,2024-06-14,56.43,56.43,50.49,54.45,0.0
$NDFI,2024-06-17,54.45,59.4,50.49,59.4,0.0
$NDFI,2024-06-18,56.43,59.4,55.44,58.41,0.0
$NDFI,2024-06-20,58.41,63.36,58.41,61.38,0.0
$NDFI,2024-06-21,61.38,66.33,61.38,65.34,0.0
$NDFI,2024-06-24,65.34,67.32,61.38,64.35,0.0
$NDFI,2024-06-25,64.35,64.35,61.38,63.36,0.0
$NDFI,2024-06-26,63.36,63.36,57.42,57.42,0.0
$NDFI,2024-06-27,57.42,61.38,57.42,60.39,0.0
$NDFI,2024-06-28,60.39,64.35,60.39,60.39,0.0
$NDFI,2024-07-01,60.39,61.38,52.47,57.84,0.0
$NDFI,2024-07-02,57.84,63.72,56.86,63.72,0.0
$NDFI,2024-07-03,63.72,66.66,63.72,66.66,0.0
$NDFI,2024-07-05,66.66,66.66,60.78,64.7,0.0
$NDFI,2024-07-08,64.7,65.68,63.72,64.7,0.0
$NDFI,2024-07-09,64.7,64.7,61.76,62.74,0.0
$NDFI,2024-07-10,62.74,65.68,61.76,65.68,0.0
$NDFI,2024-07-11,65.68,70.58,65.68,66.66,0.0
$NDFI,2024-07-12,66.66,76.47,66.66,72.54,0.0
$NDFI,2024-07-15,73.52,74.5,69.6,70.58,0.0
$NDFI,2024-07-16,70.58,75.49,70.58,74.5,0.0
$NDFI,2024-07-17,74.5,74.5,61.76,62.74,0.0
$NDFI,2024-07-18,62.74,66.66,54.9,54.9,0.0
$NDFI,2024-07-19,54.9,57.84,51.96,53.92,0.0
$NDFI,2024-07-22,53.92,64.7,53.92,62.74,0.0
$NDFI,2024-07-23,62.74,62.74,56.86,57.84,0.0
$NDFI,2024-07-24,57.84,57.84,35.29,36.27,0.0
$NDFI,2024-07-25,39.21,47.05,39.21,39.21,0.0
$NDFI,2024-07-26,39.21,48.03,39.21,43.13,0.0
$NDFI,2024-07-29,43.13,47.05,43.13,44.11,0.0
$NDFI,2024-07-30,44.11,47.05,43.13,44.11,0.0
$NDFI,2024-07-31,44.11,52.47,44.11,50.49,0.0
$NDFI,2024-08-01,50.49,51.48,39.6,42.57,0.0
$NDFI,2024-08-02,42.57,42.57,34.65,37.62,0.0
$NDFI,2024-08-05,37.62,37.62,28.71,29.7,0.0
$NDFI,2024-08-06,29.7,34.65,29.7,31.68,0.0
$NDFI,2024-08-07,35.64,38.61,28.71,28.71,0.0
$NDFI,2024-08-08,35.64,37.62,34.65,35.64,0.0
$NDFI,2024-08-09,35.64,42.57,35.64,40.59,0.0
$NDFI,2024-08-12,40.59,42.57,38.61,39.6,0.0
$NDFI,2024-08-13,39.6,46.53,39.6,45.54,0.0
$NDFI,2024-08-14,45.54,47.52,42.57,44.55,0.0
$NDFI,2024-08-15,53.46,57.42,53.46,57.42,0.0
$NDFI,2024-08-16,57.42,57.42,55.44,56.43,0.0
$NDFI,2024-08-19,56.43,60.39,56.43,60.39,0.0
$NDFI,2024-08-20,60.39,61.38,56.43,60.39,0.0
$NDFI,2024-08-21,60.39,64.35,60.39,64.35,0.0
$NDFI,2024-08-22,62.37,62.37,56.43,56.43,0.0
$NDFI,2024-08-23,56.43,66.33,56.43,63.36,0.0
$NDFI,2024-08-26,63.36,65.34,55.44,56.43,0.0
$NDFI,2024-08-27,56.43,61.38,54.45,57.42,0.0
$NDFI,2024-08-28,57.42,61.38,54.45,58.41,0.0
$NDFI,2024-08-29,58.41,67.32,58.41,59.4,0.0
$NDFI,2024-08-30,59.4,67.32,56.43,64.35,0.0
$NDFI,2024-09-03,54.45,55.44,53.46,53.46,0.0
$NDFI,2024-09-04,49.5,50.49,48.51,48.51,0.0
$NDFI,2024-09-05,49.5,49.5,46.53,47.52,0.0
$NDFI,2024-09-06,48.51,48.51,37.62,38.61,0.0
$NDFI,2024-09-09,44.55,49.5,42.57,46.53,0.0
$NDFI,2024-09-10,45.54,46.53,43.56,46.53,0.0
$NDFI,2024-09-11,42.57,52.47,37.62,52.47,0.0
$NDFI,2024-09-12,47.52,56.43,47.52,55.44,0.0
$NDFI,2024-09-13,61.38,64.35,58.41,60.39,0.0
$NDFI,2024-09-16,60.39,62.37,55.44,59.4,0.0
$NDFI,2024-09-17,62.37,68.31,56.43,59.4,0.0
$NDFI,2024-09-18,59.4,66.33,54.45,55.44,0.0
$NDFI,2024-09-19,73.26,75.24,70.29,72.27,0.0
$NDFI,2024-09-20,68.31,68.31,62.37,64.35,0.0
$NDFI,2024-09-23,66.33,68.31,64.35,66.33,0.0
$NDFI,2024-09-24,67.32,70.29,67.32,69.3,0.0
$NDFI,2024-09-25,67.32,69.3,64.35,66.33,0.0
$NDFI,2024-09-26,73.26,74.25,67.32,73.26,0.0
$NDFI,2024-09-27,77.22,79.2,77.22,78.21,0.0
$NDFI,2024-09-30,77.22,78.21,71.28,76.23,0.0
$NDFI,2024-10-01,64.35,67.32,61.38,65.34,0.0
$NDFI,2024-10-02,62.37,69.3,62.37,65.34,0.0
$NDFI,2024-10-03,57.42,63.36,57.42,63.36,0.0
$NDFI,2024-10-04,65.34,68.31,60.39,66.33,0.0
$NDFI,2024-10-07,57.42,63.36,50.49,53.46,0.0
$NDFI,2024-10-08,57.42,65.34,57.42,65.34,0.0
$NDFI,2024-10-09,67.32,73.26,65.34,69.3,0.0
$NDFI,2024-10-10,65.34,70.29,65.34,70.29,0.0
$NDFI,2024-10-11,69.3,77.22,67.32,75.24,0.0
$NDFI,2024-10-14,75.24,82.17,75.24,81.18,0.0
$NDFI,2024-10-15,80.19,82.17,69.3,69.3,0.0
$NDFI,2024-10-16,69.3,70.29,67.32,68.31,0.0
$NDFI,2024-10-17,67.32,67.32,62.37,64.35,0.0
$NDFI,2024-10-18,69.3,71.28,68.31,71.28,0.0
$NDFI,2024-10-21,67.32,67.32,61.38,64.35,0.0
$NDFI,2024-10-22,61.38,64.35,58.41,62.37,0.0
$NDFI,2024-10-23,56.43,59.4,54.45,55.44,0.0
$NDFI,2024-10-24,58.41,59.4,55.44,58.41,0.0
$NDFI,2024-10-25,62.37,66.33,62.37,62.37,0.0
$NDFI,2024-10-28,61.38,64.35,60.39,60.39,0.0
$NDFI,2024-10-29,63.36,68.31,62.37,62.37,0.0
$NDFI,2024-10-30,61.38,64.35,59.4,61.38,0.0
$NDFI,2024-10-31,59.4,59.4,50.49,51.48,0.0
$NDFI,2024-11-01,52.47,59.4,52.47,55.44,0.0
$NDFI,2024-11-04,52.47,57.42,51.48,52.47,0.0
$NDFI,2024-11-05,54.45,56.43,53.46,55.44,0.0
$NDFI,2024-11-06,65.34,67.32,64.35,67.32,0.0
$NDFI,2024-11-07,70.29,73.26,69.3,73.26,0.0
$NDFI,2024-11-08,71.28,71.28,68.31,71.28,0.0
$NDFI,2024-11-11,67.32,67.32,62.37,62.37,0.0
$NDFI,2024-11-12,64.35,64.35,63.36,64.35,0.0
$NDFI,2024-11-13,63.36,66.33,63.36,64.35,0.0
$NDFI,2024-11-14,66.33,67.32,65.34,65.34,0.0
$NDFI,2024-11-15,58.41,58.41,53.46,54.45,0.0
$NDFI,2024-11-18,54.45,58.41,54.45,58.41,0.0
$NDFI,2024-11-19,53.46,56.43,53.46,54.45,0.0
$NDFI,2024-11-20,56.43,57.42,54.45,57.42,0.0
$NDFI,2024-11-21,57.42,63.36,54.45,63.36,0.0
$NDFI,2024-11-22,60.39,62.37,59.4,61.38,0.0
$NDFI,2024-11-25,66.33,68.31,64.35,67.32,0.0
$NDFI,2024-11-26,68.31,68.31,68.31,68.31,0.0
$NDFI,2024-11-27,64.35,66.33,64.35,66.33,0.0
$NDFI,2024-11-29,62.37,68.31,62.37,66.33,0.0
$NDFI,2024-12-02,66.33,70.29,66.33,68.31,0.0
$NDFI,2024-12-03,65.34,66.33,64.35,65.34,0.0
$NDFI,2024-12-04,65.34,66.33,64.35,65.34,0.0
$NDFI,2024-12-05,67.32,67.32,59.4,61.38,0.0
$NDFI,2024-12-06,63.36,63.36,60.39,61.38,0.0
