symbol,date,open,high,low,close,volume
$NDOH,2023-11-24,64.35,64.35,62.37,63.36,0.0
$NDOH,2023-11-27,63.36,63.36,60.39,62.37,0.0
$NDOH,2023-11-28,62.37,64.35,60.39,64.35,0.0
$NDOH,2023-11-29,68.31,68.31,63.36,64.35,0.0
$NDOH,2023-11-30,64.35,65.34,62.37,65.34,0.0
$NDOH,2023-12-01,65.34,70.29,63.36,70.29,0.0
$NDOH,2023-12-04,68.31,68.31,63.36,66.33,0.0
$NDOH,2023-12-05,66.33,67.32,62.37,64.35,0.0
$NDOH,2023-12-06,64.35,64.35,61.38,62.37,0.0
$NDOH,2023-12-07,64.35,65.34,63.36,64.35,0.0
$NDOH,2023-12-08,64.35,68.31,63.36,67.32,0.0
$NDOH,2023-12-11,67.32,73.26,67.32,72.27,0.0
$NDOH,2023-12-12,72.27,72.27,68.31,70.29,0.0
$NDOH,2023-12-13,70.29,78.21,70.29,78.21,0.0
$NDOH,2023-12-14,78.21,85.14,77.22,79.2,0.0
$NDOH,2023-12-15,79.2,79.2,75.24,75.24,0.0
$NDOH,2023-12-18,75.24,81.18,75.24,80.0,0.0
$NDOH,2023-12-19,80.0,85.0,80.0,85.0,0.0
$NDOH,2023-12-20,85.0,87.0,79.0,79.0,0.0
$NDOH,2023-12-21,85.0,86.0,81.0,85.0,0.0
$NDOH,2023-12-22,85.0,87.0,84.0,85.0,0.0
$NDOH,2023-12-26,85.0,90.0,83.0,87.0,0.0
$NDOH,2023-12-27,87.0,88.0,84.0,87.0,0.0
$NDOH,2023-12-28,87.0,89.0,86.0,88.0,0.0
$NDOH,2023-12-29,88.0,90.09,85.0,87.0,0.0
$NDOH,2024-01-02,90.09,91.08,88.11,89.1,0.0
$NDOH,2024-01-03,89.1,89.1,83.16,83.16,0.0
$NDOH,2024-01-04,83.16,87.12,82.17,83.16,0.0
$NDOH,2024-01-05,83.16,85.14,78.21,81.18,0.0
$NDOH,2024-01-08,82.17,86.13,82.17,86.13,0.0
$NDOH,2024-01-09,86.13,86.13,82.17,84.15,0.0
$NDOH,2024-01-10,84.15,84.15,82.17,83.16,0.0
$NDOH,2024-01-11,81.18,83.16,80.19,83.16,0.0
$NDOH,2024-01-12,83.16,83.16,82.17,83.16,0.0
$NDOH,2024-01-16,83.16,83.16,79.2,81.18,0.0
$NDOH,2024-01-17,78.21,79.2,76.23,79.2,0.0
$NDOH,2024-01-18,79.2,80.19,77.22,79.2,0.0
$NDOH,2024-01-19,79.2,83.16,79.2,82.17,0.0
$NDOH,2024-01-22,82.17,86.13,82.17,84.15,0.0
$NDOH,2024-01-23,84.15,86.13,82.17,86.13,0.0
$NDOH,2024-01-24,86.13,86.13,83.16,83.16,0.0
$NDOH,2024-01-25,83.16,86.13,83.16,86.13,0.0
$NDOH,2024-01-26,86.13,87.12,84.15,87.12,0.0
$NDOH,2024-01-29,87.12,89.1,84.15,88.11,0.0
$NDOH,2024-01-30,88.11,91.08,84.15,89.1,0.0
$NDOH,2024-01-31,89.1,90.09,83.16,83.16,0.0
$NDOH,2024-02-01,83.16,86.13,82.17,86.13,0.0
$NDOH,2024-02-02,86.13,86.13,81.18,85.14,0.0
$NDOH,2024-02-05,85.14,85.14,78.21,80.19,0.0
$NDOH,2024-02-06,80.19,84.15,80.19,83.16,0.0
$NDOH,2024-02-07,83.16,84.15,83.16,83.16,0.0
$NDOH,2024-02-08,83.16,83.16,80.19,82.17,0.0
$NDOH,2024-02-09,82.17,83.16,78.21,83.16,0.0
$NDOH,2024-02-12,83.16,86.13,83.16,84.15,0.0
$NDOH,2024-02-13,84.15,84.15,75.24,79.2,0.0
$NDOH,2024-02-14,79.2,79.2,77.22,79.2,0.0
$NDOH,2024-02-15,80.19,83.16,80.19,81.18,0.0
$NDOH,2024-02-16,81.18,81.18,76.23,76.23,0.0
$NDOH,2024-02-20,76.23,77.22,73.26,76.23,0.0
$NDOH,2024-02-21,76.23,76.23,73.26,75.24,0.0
$NDOH,2024-02-22,75.24,79.2,75.24,78.21,0.0
$NDOH,2024-02-23,79.2,80.19,77.22,79.2,0.0
$NDOH,2024-02-26,79.2,80.19,78.21,78.21,0.0
$NDOH,2024-02-27,78.21,80.19,78.21,79.2,0.0
$NDOH,2024-02-28,79.2,79.2,72.27,73.26,0.0
$NDOH,2024-02-29,73.26,77.22,73.26,77.22,0.0
$NDOH,2024-03-01,77.22,78.21,74.25,76.23,0.0
$NDOH,2024-03-04,75.24,75.24,73.26,73.26,0.0
$NDOH,2024-03-05,73.26,73.26,63.36,67.32,0.0
$NDOH,2024-03-06,67.32,70.29,67.32,68.31,0.0
$NDOH,2024-03-07,68.31,70.29,68.31,68.31,0.0
$NDOH,2024-03-08,68.31,70.29,68.31,69.3,0.0
$NDOH,2024-03-11,69.3,75.24,69.3,73.26,0.0
$NDOH,2024-03-12,73.26,76.23,72.27,75.24,0.0
$NDOH,2024-03-13,75.24,75.24,71.28,71.28,0.0
$NDOH,2024-03-14,68.31,70.29,67.32,67.32,0.0
$NDOH,2024-03-15,67.32,69.3,66.33,68.31,0.0
