symbol,date,open,high,low,close,volume
$NDTH,2025-06-16,62.37,65.34,62.37,64.35,0.0
$NDTH,2025-06-17,64.35,65.34,62.37,62.37,0.0
$NDTH,2025-06-18,63.36,63.36,61.38,61.38,0.0
$NDTH,2025-06-20,63.36,63.36,58.41,58.41,0.0
$NDTH,2025-06-23,57.42,61.38,56.43,61.38,0.0
$NDTH,2025-06-24,63.36,64.35,63.36,64.35,0.0
$NDTH,2025-06-25,61.38,62.37,60.39,60.39,0.0
$NDTH,2025-06-26,61.38,66.33,61.38,66.33,0.0
$NDTH,2025-06-27,67.32,68.31,65.34,66.33,0.0
$NDTH,2025-06-30,67.32,69.3,67.32,69.3,0.0
$NDTH,2025-07-01,68.31,74.25,67.32,71.28,0.0
$NDTH,2025-07-02,69.3,73.26,69.3,73.26,0.0
$NDTH,2025-07-03,75.24,76.23,74.25,75.24,0.0
$NDTH,2025-07-07,73.26,73.26,68.31,68.31,0.0
$NDTH,2025-07-08,70.29,73.26,70.29,71.28,0.0
$NDTH,2025-07-09,72.27,72.27,69.3,71.28,0.0
$NDTH,2025-07-10,68.31,70.29,68.31,70.29,0.0
$NDTH,2025-07-11,67.32,70.29,67.32,69.3,0.0
$NDTH,2025-07-14,70.29,70.29,69.3,70.29,0.0
$NDTH,2025-07-15,70.29,70.29,66.33,66.33,0.0
$NDTH,2025-07-16,67.32,67.32,65.34,67.32,0.0
$NDTH,2025-07-17,67.32,69.3,67.32,68.31,0.0
$NDTH,2025-07-18,68.31,69.3,67.32,68.31,0.0
$NDTH,2025-07-21,68.31,70.29,67.0,67.0,0.0
$NDTH,2025-07-22,71.0,72.0,70.0,72.0,0.0
$NDTH,2025-07-23,72.0,76.0,72.0,72.0,0.0
$NDTH,2025-07-24,69.0,75.0,69.0,73.0,0.0
$NDTH,2025-07-25,69.0,72.0,69.0,72.0,0.0
$NDTH,2025-07-28,74.0,75.0,71.0,71.0,0.0
$NDTH,2025-07-29,70.0,73.0,70.0,73.0,0.0
$NDTH,2025-07-30,72.0,73.0,66.0,67.0,0.0
$NDTH,2025-07-31,64.0,65.0,59.0,59.0,0.0
$NDTH,2025-08-01,56.0,57.0,54.45,55.44,0.0
$NDTH,2025-08-04,53.46,58.41,53.46,58.41,0.0
$NDTH,2025-08-05,59.4,59.4,55.44,56.43,0.0
$NDTH,2025-08-06,54.45,56.43,53.46,53.46,0.0
$NDTH,2025-08-07,58.41,58.41,54.45,56.43,0.0
$NDTH,2025-08-08,57.42,60.39,57.42,60.39,0.0
$NDTH,2025-08-11,60.39,60.39,57.42,58.41,0.0
$NDTH,2025-08-12,58.41,62.37,56.43,62.37,0.0
$NDTH,2025-08-13,61.38,67.32,61.38,66.33,0.0
$NDTH,2025-08-14,62.37,65.34,61.38,63.36,0.0
$NDTH,2025-08-15,62.37,63.36,61.38,62.37,0.0
$NDTH,2025-08-18,63.36,64.35,63.36,63.36,0.0
$NDTH,2025-08-19,65.34,66.33,61.38,62.37,0.0
$NDTH,2025-08-20,59.4,61.38,59.4,61.38,0.0
$NDTH,2025-08-21,61.38,61.38,59.4,60.39,0.0
$NDTH,2025-08-22,64.35,68.31,64.35,66.33,0.0
$NDTH,2025-08-25,64.35,64.35,59.4,60.39,0.0
$NDTH,2025-08-26,61.38,61.38,57.42,59.4,0.0
$NDTH,2025-08-27,58.41,61.38,58.41,61.38,0.0
$NDTH,2025-08-28,61.38,62.37,60.39,61.38,0.0
$NDTH,2025-08-29,62.37,62.37,60.39,61.38,0.0
$NDTH,2025-09-02,57.42,57.42,53.46,56.43,0.0
$NDTH,2025-09-03,56.43,59.4,56.43,59.4,0.0
$NDTH,2025-09-04,55.44,62.37,55.44,60.39,0.0
$NDTH,2025-09-05,61.38,61.38,56.43,60.39,0.0
$NDTH,2025-09-08,56.43,60.39,56.43,60.39,0.0
$NDTH,2025-09-09,59.4,60.39,58.41,58.41,0.0
$NDTH,2025-09-10,55.44,56.43,54.45,54.45,0.0
$NDTH,2025-09-11,57.42,61.38,57.42,60.39,0.0
$NDTH,2025-09-12,58.41,58.41,56.43,56.43,0.0
$NDTH,2025-09-15,57.42,60.39,57.42,58.41,0.0
$NDTH,2025-09-16,59.4,59.4,58.41,59.4,0.0
$NDTH,2025-09-17,59.4,61.38,57.42,57.42,0.0
$NDTH,2025-09-18,58.41,60.39,58.41,59.4,0.0
$NDTH,2025-09-19,58.41,59.4,57.42,59.4,0.0
$NDTH,2025-09-22,58.41,59.4,58.41,59.4,0.0
$NDTH,2025-09-23,59.4,59.4,57.42,57.42,0.0
$NDTH,2025-09-24,58.41,60.39,58.41,59.4,0.0
$NDTH,2025-09-25,58.41,58.41,57.42,58.41,0.0
$NDTH,2025-09-26,61.38,62.37,60.39,61.38,0.0
$NDTH,2025-09-29,63.36,63.36,59.4,61.38,0.0
$NDTH,2025-09-30,59.4,59.4,58.41,58.41,0.0
$NDTH,2025-10-01,59.4,60.39,58.41,59.4,0.0
$NDTH,2025-10-02,58.41,62.37,57.42,62.37,0.0
$NDTH,2025-10-03,62.37,62.37,59.4,60.39,0.0
$NDTH,2025-10-06,61.38,62.37,60.39,62.37,0.0
$NDTH,2025-10-07,60.39,60.39,57.42,60.39,0.0
$NDTH,2025-10-08,58.41,60.39,58.41,58.41,0.0
$NDTH,2025-10-09,58.41,60.39,57.42,59.4,0.0
$NDTH,2025-10-10,59.4,59.4,53.46,53.46,0.0
$NDTH,2025-10-13,56.43,58.41,56.43,57.42,0.0
$NDTH,2025-10-14,57.42,59.4,57.42,58.41,0.0
$NDTH,2025-10-15,58.41,59.4,54.45,56.43,0.0
$NDTH,2025-10-16,56.43,56.43,53.46,54.45,0.0
$NDTH,2025-10-17,54.45,54.45,54.45,54.45,0.0
$NDTH,2025-10-20,56.43,57.42,55.44,56.43,0.0
$NDTH,2025-10-21,56.43,61.38,56.43,61.38,0.0
$NDTH,2025-10-22,62.37,63.36,62.37,62.37,0.0
$NDTH,2025-10-23,64.35,64.35,61.38,63.36,0.0
$NDTH,2025-10-24,63.36,63.36,61.38,61.38,0.0
$NDTH,2025-10-27,63.36,63.36,61.38,62.37,0.0
$NDTH,2025-10-28,62.37,65.34,61.38,62.37,0.0
$NDTH,2025-10-29,56.43,60.39,54.45,56.43,0.0
$NDTH,2025-10-30,55.44,58.41,55.44,56.43,0.0
$NDTH,2025-10-31,54.45,57.42,54.45,55.88,0.0
$NDTH,2025-11-03,53.92,55.88,53.92,55.88,0.0
$NDTH,2025-11-04,55.88,55.88,52.94,52.94,0.0
$NDTH,2025-11-05,53.92,56.86,52.94,55.88,0.0
$NDTH,2025-11-06,51.96,53.92,50.98,51.96,0.0
$NDTH,2025-11-07,52.94,52.94,50.0,52.94,0.0
$NDTH,2025-11-10,52.94,54.9,51.96,54.9,0.0
$NDTH,2025-11-11,54.9,55.88,53.92,55.88,0.0
$NDTH,2025-11-12,55.88,55.88,55.88,55.88,0.0
$NDTH,2025-11-13,56.86,56.86,52.94,53.92,0.0
$NDTH,2025-11-14,51.96,52.94,51.96,52.94,0.0
$NDTH,2025-11-17,52.94,52.94,50.0,51.96,0.0
$NDTH,2025-11-18,50.98,52.94,49.01,50.98,0.0
$NDTH,2025-11-19,50.0,51.96,48.03,49.01,0.0
$NDTH,2025-11-20,52.94,52.94,47.05,47.05,0.0
$NDTH,2025-11-21,47.05,51.96,47.05,50.98,0.0
$NDTH,2025-11-24,49.01,50.0,48.51,49.01,0.0
$NDTH,2025-11-25,50.49,52.47,50.49,52.47,0.0
$NDTH,2025-11-26,52.47,52.47,51.48,51.48,0.0
$NDTH,2025-11-28,51.48,52.47,51.48,52.47,0.0
$NDTH,2025-12-01,51.48,54.45,51.48,52.47,0.0
$NDTH,2025-12-02,52.47,55.44,52.47,55.44,0.0
$NDTH,2025-12-03,57.42,59.4,57.42,58.41,0.0
$NDTH,2025-12-04,57.42,57.42,57.42,57.42,0.0
$NDTH,2025-12-05,59.4,62.37,59.4,62.37,0.0
$NDTH,2025-12-08,60.39,60.39,56.43,57.42,0.0
$NDTH,2025-12-09,57.42,58.41,56.43,56.43,0.0
$NDTH,2025-12-10,55.44,59.4,54.45,58.41,0.0
$NDTH,2025-12-11,57.42,57.42,56.43,57.42,0.0
$NDTH,2025-12-12,58.41,60.39,57.42,58.41,0.0
