symbol,date,open,high,low,close,volume
$NDTW,2023-11-24,83.16,86.13,83.16,86.13,0.0
$NDTW,2023-11-27,86.13,86.13,83.16,85.14,0.0
$NDTW,2023-11-28,85.14,85.14,77.22,79.2,0.0
$NDTW,2023-11-29,81.18,82.17,76.23,76.23,0.0
$NDTW,2023-11-30,76.23,78.21,67.32,77.22,0.0
$NDTW,2023-12-01,77.22,82.17,75.24,80.19,0.0
$NDTW,2023-12-04,72.27,72.27,64.35,71.28,0.0
$NDTW,2023-12-05,71.28,71.28,60.39,63.36,0.0
$NDTW,2023-12-06,63.36,67.32,61.38,61.38,0.0
$NDTW,2023-12-07,66.33,68.31,63.36,65.34,0.0
$NDTW,2023-12-08,66.33,69.3,62.37,68.31,0.0
$NDTW,2023-12-11,68.31,82.17,68.31,82.17,0.0
$NDTW,2023-12-12,82.17,82.17,74.25,82.17,0.0
$NDTW,2023-12-13,82.17,89.1,82.17,89.1,0.0
$NDTW,2023-12-14,89.1,90.09,82.17,85.14,0.0
$NDTW,2023-12-15,85.14,87.12,84.15,86.13,0.0
$NDTW,2023-12-18,86.13,91.08,86.13,90.0,0.0
$NDTW,2023-12-19,90.0,91.0,89.0,90.0,0.0
$NDTW,2023-12-20,90.0,92.0,77.0,77.0,0.0
$NDTW,2023-12-21,83.0,84.0,79.0,83.0,0.0
$NDTW,2023-12-22,83.0,89.0,80.0,82.0,0.0
$NDTW,2023-12-26,82.0,89.0,81.0,88.0,0.0
$NDTW,2023-12-27,88.0,88.0,81.0,83.0,0.0
$NDTW,2023-12-28,83.0,88.0,83.0,86.0,0.0
$NDTW,2023-12-29,86.0,86.0,81.0,86.0,0.0
$NDTW,2024-01-02,85.14,85.14,56.43,66.33,0.0
$NDTW,2024-01-03,66.33,66.33,38.61,38.61,0.0
$NDTW,2024-01-04,38.61,45.54,36.63,36.63,0.0
$NDTW,2024-01-05,34.65,41.58,32.67,34.65,0.0
$NDTW,2024-01-08,33.66,53.46,33.66,53.46,0.0
$NDTW,2024-01-09,53.46,53.46,36.63,46.53,0.0
$NDTW,2024-01-10,46.53,53.46,44.55,46.53,0.0
$NDTW,2024-01-11,48.51,50.49,38.61,50.49,0.0
$NDTW,2024-01-12,54.45,54.45,48.51,53.46,0.0
$NDTW,2024-01-16,53.46,53.46,41.58,49.5,0.0
$NDTW,2024-01-17,35.64,41.58,32.67,40.59,0.0
$NDTW,2024-01-18,40.59,57.42,40.59,56.43,0.0
$NDTW,2024-01-19,56.43,69.3,56.43,67.32,0.0
$NDTW,2024-01-22,67.32,73.26,67.32,71.28,0.0
$NDTW,2024-01-23,71.28,73.26,69.3,72.27,0.0
$NDTW,2024-01-24,72.27,74.25,69.3,70.29,0.0
$NDTW,2024-01-25,70.29,73.26,68.31,71.28,0.0
$NDTW,2024-01-26,71.28,73.26,65.34,67.32,0.0
$NDTW,2024-01-29,67.32,75.24,66.33,74.25,0.0
$NDTW,2024-01-30,74.25,74.25,71.28,72.27,0.0
$NDTW,2024-01-31,72.27,72.27,63.36,63.36,0.0
$NDTW,2024-02-01,63.36,68.31,53.46,67.32,0.0
$NDTW,2024-02-02,67.32,67.32,55.44,61.38,0.0
$NDTW,2024-02-05,61.38,61.38,54.45,56.43,0.0
