symbol,date,open,high,low,close,volume
$S5FD,2025-06-16,41.46,57.93,39.88,42.65,0.0
$S5FD,2025-06-17,37.69,37.69,22.22,25.59,0.0
$S5FD,2025-06-18,42.46,44.44,31.74,31.74,0.0
$S5FD,2025-06-20,59.64,59.64,37.17,43.93,0.0
$S5FD,2025-06-23,53.67,69.38,38.17,69.38,0.0
$S5FD,2025-06-24,82.5,86.87,78.52,85.28,0.0
$S5FD,2025-06-25,67.39,68.19,57.25,58.64,0.0
$S5FD,2025-06-26,62.82,63.41,56.66,63.02,0.0
$S5FD,2025-06-27,64.01,79.52,57.65,65.8,0.0
$S5FD,2025-06-30,66.6,78.72,62.42,77.73,0.0
$S5FD,2025-07-01,76.93,88.07,75.94,84.72,0.0
$S5FD,2025-07-02,66.86,71.82,65.67,70.63,0.0
$S5FD,2025-07-03,74.4,80.95,74.4,79.52,0.0
$S5FD,2025-07-07,69.12,71.31,33.86,47.01,0.0
$S5FD,2025-07-08,38.04,53.38,37.45,44.62,0.0
$S5FD,2025-07-09,50.19,51.79,35.25,51.39,0.0
$S5FD,2025-07-10,49.0,70.31,49.0,64.94,0.0
$S5FD,2025-07-11,43.22,54.78,40.83,50.39,0.0
$S5FD,2025-07-14,36.25,47.91,36.25,47.91,0.0
$S5FD,2025-07-15,40.35,40.35,15.9,15.9,0.0
$S5FD,2025-07-16,24.85,32.8,16.3,32.4,0.0
$S5FD,2025-07-17,45.92,61.43,41.55,57.65,0.0
$S5FD,2025-07-18,68.58,68.58,56.06,60.43,0.0
$S5FD,2025-07-21,69.92,72.9,52.39,52.39,0.0
$S5FD,2025-07-22,67.33,76.69,65.13,75.29,0.0
$S5FD,2025-07-23,78.48,81.87,76.89,80.47,0.0
$S5FD,2025-07-24,75.89,78.08,69.52,69.52,0.0
$S5FD,2025-07-25,61.95,71.71,61.95,71.71,0.0
$S5FD,2025-07-28,51.39,52.78,44.42,44.82,0.0
$S5FD,2025-07-29,47.8,47.8,36.45,46.41,0.0
$S5FD,2025-07-30,44.82,49.9,25.64,32.8,0.0
$S5FD,2025-07-31,33.39,35.18,22.46,24.05,0.0
$S5FD,2025-08-01,17.09,23.85,17.09,23.85,0.0
