symbol,date,open,high,low,close,volume
$S5FI,2023-11-24,73.55,76.73,73.55,76.14,0.0
$S5FI,2023-11-27,76.14,76.14,72.96,74.15,0.0
$S5FI,2023-11-28,74.15,78.13,73.75,75.94,0.0
$S5FI,2023-11-29,78.92,78.92,76.54,76.54,0.0
$S5FI,2023-11-30,76.54,79.72,76.54,79.72,0.0
$S5FI,2023-12-01,79.72,84.89,79.72,84.89,0.0
$S5FI,2023-12-04,85.48,85.48,83.3,84.69,0.0
$S5FI,2023-12-05,84.69,84.69,81.51,82.1,0.0
$S5FI,2023-12-06,82.1,82.5,79.92,79.92,0.0
$S5FI,2023-12-07,80.31,81.51,80.31,81.31,0.0
$S5FI,2023-12-08,80.31,82.3,80.31,82.1,0.0
$S5FI,2023-12-11,82.1,85.88,82.1,85.08,0.0
$S5FI,2023-12-12,85.08,85.08,83.69,84.49,0.0
$S5FI,2023-12-13,84.49,89.06,83.49,89.06,0.0
$S5FI,2023-12-14,89.06,90.85,88.27,88.86,0.0
$S5FI,2023-12-15,88.86,88.86,85.08,86.28,0.0
$S5FI,2023-12-18,86.28,89.26,86.28,87.87,0.0
$S5FI,2023-12-19,87.87,89.66,87.87,89.66,0.0
$S5FI,2023-12-20,89.66,89.86,84.09,84.09,0.0
$S5FI,2023-12-21,86.28,87.47,84.69,87.47,0.0
$S5FI,2023-12-22,87.47,90.45,87.47,88.86,0.0
$S5FI,2023-12-26,88.86,90.25,88.86,89.66,0.0
$S5FI,2023-12-27,89.66,89.66,88.27,88.66,0.0
$S5FI,2023-12-28,88.66,89.86,88.66,88.66,0.0
$S5FI,2023-12-29,88.66,89.86,87.87,89.06,0.0
$S5FI,2024-01-02,89.06,92.44,89.06,91.25,0.0
$S5FI,2024-01-03,91.25,91.45,90.05,90.85,0.0
$S5FI,2024-01-04,90.85,91.05,88.27,88.27,0.0
$S5FI,2024-01-05,88.66,89.06,85.68,87.47,0.0
$S5FI,2024-01-08,84.69,90.05,84.69,90.05,0.0
$S5FI,2024-01-09,90.05,90.05,84.49,85.88,0.0
$S5FI,2024-01-10,85.88,85.88,83.1,84.29,0.0
$S5FI,2024-01-11,83.3,83.3,80.71,83.3,0.0
$S5FI,2024-01-12,84.09,84.09,81.51,82.1,0.0
$S5FI,2024-01-16,82.1,82.1,76.54,77.93,0.0
$S5FI,2024-01-17,71.37,74.95,67.19,70.17,0.0
$S5FI,2024-01-18,70.17,71.96,66.0,71.76,0.0
$S5FI,2024-01-19,71.76,75.14,67.79,73.95,0.0
$S5FI,2024-01-22,73.95,76.93,73.95,75.34,0.0
$S5FI,2024-01-23,75.34,77.73,74.15,76.14,0.0
$S5FI,2024-01-24,76.14,77.33,69.98,70.57,0.0
$S5FI,2024-01-25,70.57,76.14,69.38,76.14,0.0
$S5FI,2024-01-26,76.14,76.54,74.35,75.34,0.0
$S5FI,2024-01-29,75.34,76.93,71.96,76.93,0.0
$S5FI,2024-01-30,76.93,76.93,69.78,73.95,0.0
$S5FI,2024-01-31,73.95,73.95,63.81,64.01,0.0
$S5FI,2024-02-01,64.01,70.17,57.65,70.11,0.0
$S5FI,2024-02-02,70.11,70.11,58.76,64.74,0.0
$S5FI,2024-02-05,64.74,64.74,54.58,57.76,0.0
$S5FI,2024-02-06,57.76,63.02,57.76,62.42,0.0
$S5FI,2024-02-07,62.42,63.81,61.03,62.62,0.0
$S5FI,2024-02-08,62.62,62.62,59.04,61.82,0.0
$S5FI,2024-02-09,61.82,61.82,58.84,61.82,0.0
$S5FI,2024-02-12,61.82,67.39,61.63,64.61,0.0
$S5FI,2024-02-13,64.61,64.61,47.91,51.68,0.0
$S5FI,2024-02-14,51.68,54.67,51.68,54.67,0.0
$S5FI,2024-02-15,61.23,63.41,60.63,62.22,0.0
$S5FI,2024-02-16,62.22,62.82,58.64,59.04,0.0
$S5FI,2024-02-20,59.04,61.43,57.85,58.64,0.0
$S5FI,2024-02-21,58.64,63.41,58.64,63.41,0.0
$S5FI,2024-02-22,63.41,66.0,60.03,64.41,0.0
$S5FI,2024-02-23,66.0,67.39,66.0,66.4,0.0
$S5FI,2024-02-26,66.4,66.4,60.63,60.83,0.0
$S5FI,2024-02-27,60.83,63.02,60.83,62.22,0.0
$S5FI,2024-02-28,62.22,65.8,62.22,64.01,0.0
$S5FI,2024-02-29,64.01,68.58,64.01,66.0,0.0
$S5FI,2024-03-01,66.0,68.38,61.63,68.38,0.0
$S5FI,2024-03-04,68.58,71.31,68.19,71.31,0.0
$S5FI,2024-03-05,71.31,72.11,65.93,67.13,0.0
$S5FI,2024-03-06,67.13,73.1,67.13,71.31,0.0
