symbol,date,open,high,low,close,volume
$S5OH,2025-06-17,52.97,53.96,49.2,49.6,0.0
$S5OH,2025-06-18,53.96,53.96,50.39,50.39,0.0
$S5OH,2025-06-20,54.27,54.47,50.69,51.49,0.0
$S5OH,2025-06-23,53.08,57.65,50.89,57.65,0.0
$S5OH,2025-06-24,59.24,61.03,59.04,59.84,0.0
$S5OH,2025-06-25,57.65,58.05,54.47,54.47,0.0
$S5OH,2025-06-26,56.46,57.45,55.86,57.45,0.0
$S5OH,2025-06-27,58.25,61.82,57.85,59.04,0.0
$S5OH,2025-06-30,59.84,62.02,58.64,61.82,0.0
$S5OH,2025-07-01,62.82,75.34,62.82,71.42,0.0
$S5OH,2025-07-02,69.84,72.02,68.65,71.42,0.0
$S5OH,2025-07-03,72.61,73.01,71.96,71.96,0.0
$S5OH,2025-07-07,71.91,72.11,66.93,68.72,0.0
$S5OH,2025-07-08,67.92,71.71,67.92,70.31,0.0
$S5OH,2025-07-09,70.91,71.11,67.52,70.71,0.0
$S5OH,2025-07-10,69.32,73.5,69.32,71.11,0.0
$S5OH,2025-07-11,66.73,68.72,65.13,67.52,0.0
$S5OH,2025-07-14,67.52,68.72,66.33,68.19,0.0
$S5OH,2025-07-15,67.39,67.39,60.23,60.23,0.0
$S5OH,2025-07-16,63.61,63.61,59.04,62.82,0.0
$S5OH,2025-07-17,63.61,67.39,62.02,66.2,0.0
$S5OH,2025-07-18,68.58,69.38,65.4,66.2,0.0
$S5OH,2025-07-21,66.93,67.72,64.34,64.34,0.0
$S5OH,2025-07-22,72.9,73.3,69.72,73.3,0.0
$S5OH,2025-07-23,73.7,75.09,73.3,74.9,0.0
$S5OH,2025-07-24,74.9,75.49,73.7,74.1,0.0
$S5OH,2025-07-25,73.3,74.1,73.3,73.7,0.0
$S5OH,2025-07-28,72.9,73.1,71.11,71.11,0.0
$S5OH,2025-07-29,71.31,72.7,70.71,71.91,0.0
$S5OH,2025-07-30,70.91,71.37,66.0,67.19,0.0
$S5OH,2025-07-31,67.79,67.99,62.02,62.42,0.0
$S5OH,2025-08-01,57.45,60.23,56.26,58.44,0.0
$S5OH,2025-08-04,60.23,64.61,60.23,64.61,0.0
$S5OH,2025-08-05,63.81,64.01,61.63,63.41,0.0
$S5OH,2025-08-06,62.42,62.42,60.83,61.23,0.0
$S5OH,2025-08-07,64.61,64.61,60.63,62.82,0.0
$S5OH,2025-08-08,63.61,65.4,62.82,64.21,0.0
$S5OH,2025-08-11,66.4,66.4,62.02,63.14,0.0
$S5OH,2025-08-12,64.34,65.73,63.14,65.73,0.0
$S5OH,2025-08-13,66.53,70.37,66.33,70.31,0.0
$S5OH,2025-08-14,67.19,68.38,66.0,67.59,0.0
$S5OH,2025-08-15,68.58,69.18,66.6,66.6,0.0
$S5OH,2025-08-18,66.79,67.99,65.0,65.0,0.0
$S5OH,2025-08-19,67.59,70.37,67.59,69.58,0.0
$S5OH,2025-08-20,71.76,71.76,68.98,69.78,0.0
$S5OH,2025-08-21,68.78,69.18,67.59,67.99,0.0
$S5OH,2025-08-22,74.75,75.94,74.75,75.94,0.0
$S5OH,2025-08-25,72.96,72.96,69.78,69.98,0.0
$S5OH,2025-08-26,69.98,69.98,68.78,69.78,0.0
$S5OH,2025-08-27,69.18,70.97,69.18,70.97,0.0
$S5OH,2025-08-28,69.38,69.38,67.59,68.78,0.0
$S5OH,2025-08-29,69.58,70.17,68.78,69.78,0.0
$S5OH,2025-09-02,65.8,67.19,64.61,66.2,0.0
$S5OH,2025-09-03,64.81,65.8,63.41,65.8,0.0
$S5OH,2025-09-04,64.61,66.6,64.61,66.2,0.0
$S5OH,2025-09-05,67.99,67.99,65.8,67.19,0.0
$S5OH,2025-09-08,62.62,65.6,62.62,65.6,0.0
$S5OH,2025-09-09,64.21,64.81,62.82,64.21,0.0
$S5OH,2025-09-10,64.21,64.61,61.43,63.22,0.0
$S5OH,2025-09-11,66.2,68.58,66.2,68.19,0.0
$S5OH,2025-09-12,68.19,68.38,65.0,65.2,0.0
$S5OH,2025-09-15,63.81,65.6,61.82,61.82,0.0
$S5OH,2025-09-16,63.02,63.02,60.03,60.63,0.0
$S5OH,2025-09-17,63.41,65.0,61.03,61.43,0.0
$S5OH,2025-09-18,62.22,62.82,60.83,61.43,0.0
$S5OH,2025-09-19,60.43,61.43,59.44,60.63,0.0
$S5OH,2025-09-22,59.24,62.22,59.24,61.82,0.0
$S5OH,2025-09-23,63.02,63.02,61.82,62.42,0.0
$S5OH,2025-09-24,62.82,62.82,60.43,61.43,0.0
$S5OH,2025-09-25,60.83,60.83,56.66,57.65,0.0
$S5OH,2025-09-26,60.83,61.43,59.24,61.43,0.0
$S5OH,2025-09-29,61.23,62.02,60.63,61.03,0.0
$S5OH,2025-09-30,61.82,63.22,59.64,63.22,0.0
$S5OH,2025-10-01,63.41,63.41,61.03,61.63,0.0
$S5OH,2025-10-02,62.82,63.22,60.63,62.82,0.0
$S5OH,2025-10-03,64.41,66.2,64.01,64.01,0.0
$S5OH,2025-10-06,63.61,65.6,63.61,64.21,0.0
$S5OH,2025-10-07,63.02,63.02,61.43,62.42,0.0
$S5OH,2025-10-08,60.23,63.22,60.23,62.02,0.0
$S5OH,2025-10-09,62.02,62.02,56.06,56.85,0.0
$S5OH,2025-10-10,56.85,58.64,46.12,46.32,0.0
$S5OH,2025-10-13,49.1,51.29,48.11,50.09,0.0
$S5OH,2025-10-14,50.69,57.85,50.69,55.86,0.0
$S5OH,2025-10-15,57.45,59.84,53.08,54.67,0.0
$S5OH,2025-10-16,55.46,55.46,49.1,50.69,0.0
$S5OH,2025-10-17,51.29,53.87,49.9,53.28,0.0
$S5OH,2025-10-20,55.46,57.25,55.26,56.85,0.0
