symbol,date,open,high,low,close,volume
$S5TH,2025-06-16,50.19,51.19,48.41,49.2,0.0
$S5TH,2025-06-17,47.81,47.81,44.84,45.63,0.0
$S5TH,2025-06-18,47.42,47.42,45.23,45.23,0.0
$S5TH,2025-06-20,47.11,47.71,44.93,45.12,0.0
$S5TH,2025-06-23,47.11,49.3,45.12,49.3,0.0
$S5TH,2025-06-24,49.9,51.88,49.9,51.68,0.0
$S5TH,2025-06-25,49.1,49.1,46.91,46.91,0.0
$S5TH,2025-06-26,48.5,49.9,47.91,49.9,0.0
$S5TH,2025-06-27,50.09,52.88,49.3,51.09,0.0
$S5TH,2025-06-30,52.08,53.08,51.29,53.08,0.0
$S5TH,2025-07-01,53.47,60.63,53.47,58.92,0.0
$S5TH,2025-07-02,57.73,59.72,56.74,58.92,0.0
$S5TH,2025-07-03,60.31,62.5,60.31,61.23,0.0
$S5TH,2025-07-07,60.55,60.75,56.17,57.37,0.0
$S5TH,2025-07-08,56.37,59.56,56.37,58.16,0.0
$S5TH,2025-07-09,59.56,59.56,57.56,59.36,0.0
$S5TH,2025-07-10,58.76,63.14,58.76,61.55,0.0
$S5TH,2025-07-11,59.16,60.35,58.16,59.56,0.0
$S5TH,2025-07-14,58.76,59.36,57.76,58.84,0.0
$S5TH,2025-07-15,58.84,58.84,54.87,54.87,0.0
$S5TH,2025-07-16,56.26,56.26,54.27,55.86,0.0
$S5TH,2025-07-17,57.05,59.24,56.85,58.44,0.0
$S5TH,2025-07-18,59.24,59.44,57.65,58.44,0.0
$S5TH,2025-07-21,58.96,59.96,56.77,56.77,0.0
$S5TH,2025-07-22,60.35,61.75,58.96,61.75,0.0
$S5TH,2025-07-23,62.54,63.94,62.15,63.14,0.0
$S5TH,2025-07-24,61.95,63.94,61.55,62.15,0.0
$S5TH,2025-07-25,61.15,63.74,61.15,63.34,0.0
$S5TH,2025-07-28,62.74,62.94,60.55,60.75,0.0
$S5TH,2025-07-29,60.75,61.55,59.56,60.75,0.0
$S5TH,2025-07-30,60.75,61.23,57.85,58.64,0.0
$S5TH,2025-07-31,57.85,58.84,56.06,56.46,0.0
$S5TH,2025-08-01,53.08,54.07,52.68,53.47,0.0
$S5TH,2025-08-04,54.27,57.45,54.27,57.45,0.0
$S5TH,2025-08-05,57.65,57.65,55.26,56.26,0.0
$S5TH,2025-08-06,55.66,55.86,54.27,54.27,0.0
$S5TH,2025-08-07,56.46,56.46,53.28,55.26,0.0
$S5TH,2025-08-08,55.86,56.85,55.66,56.46,0.0
$S5TH,2025-08-11,57.85,57.85,54.27,54.98,0.0
$S5TH,2025-08-12,56.17,58.36,55.57,58.16,0.0
$S5TH,2025-08-13,59.76,63.61,59.76,63.54,0.0
$S5TH,2025-08-14,60.63,60.83,59.24,60.23,0.0
$S5TH,2025-08-15,61.63,61.63,59.64,60.03,0.0
$S5TH,2025-08-18,59.44,60.63,59.44,60.43,0.0
$S5TH,2025-08-19,61.23,63.61,61.23,62.42,0.0
$S5TH,2025-08-20,62.22,63.02,61.63,62.82,0.0
$S5TH,2025-08-21,62.02,62.82,62.02,62.62,0.0
$S5TH,2025-08-22,66.99,68.58,66.99,67.99,0.0
$S5TH,2025-08-25,66.79,66.79,64.61,64.61,0.0
$S5TH,2025-08-26,64.81,64.81,62.62,63.81,0.0
$S5TH,2025-08-27,64.41,65.8,63.81,65.2,0.0
$S5TH,2025-08-28,64.01,64.61,62.82,64.41,0.0
$S5TH,2025-08-29,65.0,65.2,64.21,65.0,0.0
$S5TH,2025-09-02,62.62,64.21,60.43,62.82,0.0
$S5TH,2025-09-03,61.63,62.62,60.83,62.62,0.0
$S5TH,2025-09-04,62.42,63.81,62.02,63.81,0.0
$S5TH,2025-09-05,65.2,65.2,61.82,63.22,0.0
$S5TH,2025-09-08,61.23,63.22,61.23,63.22,0.0
$S5TH,2025-09-09,63.02,63.02,61.63,61.82,0.0
$S5TH,2025-09-10,61.23,61.23,59.04,60.03,0.0
$S5TH,2025-09-11,62.62,65.6,62.42,65.6,0.0
$S5TH,2025-09-12,65.2,65.4,62.82,62.82,0.0
$S5TH,2025-09-15,63.02,64.61,60.63,61.03,0.0
$S5TH,2025-09-16,61.63,61.63,60.63,61.23,0.0
$S5TH,2025-09-17,62.62,63.61,61.03,61.03,0.0
$S5TH,2025-09-18,61.03,61.82,60.43,60.63,0.0
$S5TH,2025-09-19,60.43,61.23,59.24,59.84,0.0
$S5TH,2025-09-22,59.04,61.03,58.84,60.03,0.0
$S5TH,2025-09-23,62.42,62.42,60.23,60.83,0.0
$S5TH,2025-09-24,61.43,62.02,61.23,61.23,0.0
$S5TH,2025-09-25,60.83,60.83,58.64,59.04,0.0
$S5TH,2025-09-26,62.22,62.22,61.23,62.02,0.0
$S5TH,2025-09-29,61.63,62.42,61.03,62.22,0.0
$S5TH,2025-09-30,62.22,64.21,61.03,64.21,0.0
$S5TH,2025-10-01,65.0,65.0,63.81,64.61,0.0
$S5TH,2025-10-02,64.01,64.41,63.41,63.61,0.0
$S5TH,2025-10-03,65.6,66.79,64.81,64.81,0.0
$S5TH,2025-10-06,64.61,66.0,64.41,64.61,0.0
$S5TH,2025-10-07,64.41,64.41,63.22,64.21,0.0
$S5TH,2025-10-08,62.82,64.21,62.82,62.82,0.0
$S5TH,2025-10-09,62.82,63.22,61.63,61.63,0.0
$S5TH,2025-10-10,61.63,61.63,54.27,54.27,0.0
$S5TH,2025-10-13,57.05,59.04,56.06,57.45,0.0
$S5TH,2025-10-14,58.64,62.22,58.64,61.23,0.0
$S5TH,2025-10-15,62.02,62.22,59.84,60.83,0.0
$S5TH,2025-10-16,60.03,60.03,55.86,56.46,0.0
$S5TH,2025-10-17,57.45,58.44,57.05,57.85,0.0
$S5TH,2025-10-20,60.23,62.82,59.84,62.42,0.0
$S5TH,2025-10-21,62.62,64.61,62.62,64.21,0.0
$S5TH,2025-10-22,63.61,65.2,62.82,63.02,0.0
$S5TH,2025-10-23,63.81,64.61,62.02,64.21,0.0
$S5TH,2025-10-24,65.4,65.4,62.62,62.62,0.0
$S5TH,2025-10-27,62.82,63.41,62.02,63.22,0.0
$S5TH,2025-10-28,61.63,62.22,60.03,60.03,0.0
$S5TH,2025-10-29,56.66,57.45,52.88,54.07,0.0
$S5TH,2025-10-30,54.87,56.85,53.08,53.08,0.0
$S5TH,2025-10-31,53.28,54.47,53.28,53.67,0.0
$S5TH,2025-11-03,50.69,53.47,50.49,53.08,0.0
$S5TH,2025-11-04,51.88,53.08,51.68,52.48,0.0
$S5TH,2025-11-05,52.48,54.07,51.88,53.67,0.0
$S5TH,2025-11-06,52.68,52.68,50.69,51.68,0.0
$S5TH,2025-11-07,52.28,54.07,51.29,54.07,0.0
$S5TH,2025-11-10,54.47,55.86,53.08,55.26,0.0
$S5TH,2025-11-11,56.46,58.05,56.46,57.45,0.0
$S5TH,2025-11-12,59.24,59.24,57.65,57.65,0.0
$S5TH,2025-11-13,58.84,59.04,56.46,56.66,0.0
$S5TH,2025-11-14,55.06,57.05,54.87,55.86,0.0
$S5TH,2025-11-17,54.87,54.87,51.09,51.49,0.0
$S5TH,2025-11-18,52.08,53.47,51.49,52.08,0.0
$S5TH,2025-11-19,51.68,51.88,50.09,50.89,0.0
$S5TH,2025-11-20,53.28,53.47,47.51,47.51,0.0
$S5TH,2025-11-21,51.09,55.66,51.09,53.28,0.0
$S5TH,2025-11-24,52.48,54.47,52.48,53.08,0.0
$S5TH,2025-11-25,54.47,57.45,54.47,56.85,0.0
$S5TH,2025-11-26,57.45,59.24,57.45,58.05,0.0
$S5TH,2025-11-28,57.85,61.03,57.85,60.03,0.0
$S5TH,2025-12-01,58.25,59.64,57.65,57.76,0.0
$S5TH,2025-12-02,56.46,57.25,56.46,56.85,0.0
$S5TH,2025-12-03,58.84,59.84,58.44,59.04,0.0
$S5TH,2025-12-04,58.84,59.24,58.64,59.24,0.0
$S5TH,2025-12-05,59.44,60.83,59.44,60.43,0.0
$S5TH,2025-12-08,58.44,58.44,56.06,56.06,0.0
$S5TH,2025-12-09,57.25,58.25,56.06,56.06,0.0
$S5TH,2025-12-10,56.66,59.64,56.46,58.84,0.0
$S5TH,2025-12-11,60.83,62.22,60.03,62.02,0.0
$S5TH,2025-12-12,63.22,63.81,60.83,62.35,0.0
$S5TH,2025-12-15,61.75,62.02,61.55,61.82,0.0
$S5TH,2025-12-16,61.43,61.43,59.84,59.84,0.0
$S5TH,2025-12-17,59.44,61.23,58.84,59.84,0.0
$S5TH,2025-12-18,61.43,62.02,59.44,59.44,0.0
$S5TH,2025-12-19,59.24,59.64,58.05,58.05,0.0
$S5TH,2025-12-22,59.84,60.63,59.44,60.63,0.0
$S5TH,2025-12-23,59.64,60.83,59.64,60.63,0.0
$S5TH,2025-12-24,60.43,61.43,60.03,61.23,0.0
$S5TH,2025-12-26,60.83,60.83,59.64,60.43,0.0
$S5TH,2025-12-29,60.83,61.63,60.43,61.63,0.0
$S5TH,2025-12-30,61.63,61.82,61.23,61.23,0.0
$S5TH,2025-12-31,60.43,60.43,58.64,58.84,0.0
$S5TH,2026-01-02,57.65,58.64,57.05,58.64,0.0
$S5TH,2026-01-05,59.04,60.63,59.04,60.03,0.0
$S5TH,2026-01-06,61.43,63.22,61.03,62.82,0.0
$S5TH,2026-01-07,60.23,60.63,58.44,58.84,0.0
$S5TH,2026-01-08,61.03,63.41,61.03,62.82,0.0
$S5TH,2026-01-09,64.01,65.0,63.22,64.01,0.0
$S5TH,2026-01-12,63.22,64.61,63.22,64.61,0.0
$S5TH,2026-01-13,65.0,65.0,63.61,64.21,0.0
$S5TH,2026-01-14,65.2,66.73,65.2,66.73,0.0
$S5TH,2026-01-15,67.13,68.52,67.13,67.52,0.0
$S5TH,2026-01-16,66.13,67.52,66.13,67.13,0.0
$S5TH,2026-01-20,63.34,64.74,62.74,63.34,0.0
$S5TH,2026-01-21,65.93,67.13,64.94,66.53,0.0
$S5TH,2026-01-22,66.4,68.19,66.4,66.6,0.0
$S5TH,2026-01-23,65.6,65.6,64.41,65.6,0.0
$S5TH,2026-01-26,67.59,67.59,65.6,66.2,0.0
$S5TH,2026-01-27,65.6,66.2,64.61,66.0,0.0
$S5TH,2026-01-28,66.6,66.6,65.0,65.0,0.0
$S5TH,2026-01-29,64.21,64.21,61.43,64.01,0.0
$S5TH,2026-01-30,62.62,64.21,61.82,64.01,0.0
$S5TH,2026-02-02,63.41,64.01,63.02,63.02,0.0
$S5TH,2026-02-03,64.01,64.21,62.22,62.62,0.0
$S5TH,2026-02-04,65.8,67.99,65.8,66.99,0.0
$S5TH,2026-02-05,66.6,66.6,64.61,65.4,0.0
$S5TH,2026-02-06,67.59,67.59,66.0,67.13,0.0
$S5TH,2026-02-09,66.33,66.93,65.33,66.93,0.0
$S5TH,2026-02-10,66.93,67.99,66.79,67.19,0.0
$S5TH,2026-02-11,66.99,67.19,66.2,66.99,0.0
$S5TH,2026-02-12,67.39,67.39,64.21,64.81,0.0
$S5TH,2026-02-13,64.21,66.4,63.81,64.81,0.0
$S5TH,2026-02-17,65.4,65.4,63.41,63.61,0.0
