symbol,date,open,high,low,close,volume
$S5TW,2025-06-16,49.8,58.73,49.8,53.37,0.0
$S5TW,2025-06-17,46.82,49.0,37.3,38.49,0.0
$S5TW,2025-06-18,46.42,49.4,43.65,43.84,0.0
$S5TW,2025-06-20,51.29,51.29,43.73,46.12,0.0
$S5TW,2025-06-23,47.71,57.25,39.96,57.25,0.0
$S5TW,2025-06-24,60.83,70.97,59.84,68.78,0.0
$S5TW,2025-06-25,59.04,61.03,55.86,57.25,0.0
$S5TW,2025-06-26,61.23,62.62,57.65,62.62,0.0
$S5TW,2025-06-27,63.81,71.17,61.03,66.4,0.0
$S5TW,2025-06-30,63.81,71.57,63.81,71.37,0.0
$S5TW,2025-07-01,71.37,85.68,70.57,82.14,0.0
$S5TW,2025-07-02,75.59,77.77,72.61,77.18,0.0
$S5TW,2025-07-03,79.16,81.34,79.16,80.31,0.0
$S5TW,2025-07-07,79.88,79.88,69.12,73.3,0.0
$S5TW,2025-07-08,72.11,75.49,71.71,74.1,0.0
$S5TW,2025-07-09,73.1,75.09,70.51,74.1,0.0
$S5TW,2025-07-10,72.31,76.89,72.31,75.09,0.0
$S5TW,2025-07-11,68.72,70.51,64.94,67.92,0.0
$S5TW,2025-07-14,65.33,70.17,64.94,69.18,0.0
$S5TW,2025-07-15,66.99,66.99,47.91,47.91,0.0
$S5TW,2025-07-16,52.08,53.47,43.93,53.47,0.0
$S5TW,2025-07-17,55.86,62.22,53.47,60.83,0.0
$S5TW,2025-07-18,62.42,62.42,55.46,57.85,0.0
$S5TW,2025-07-21,55.97,61.55,50.79,50.79,0.0
$S5TW,2025-07-22,62.74,67.92,60.55,67.92,0.0
$S5TW,2025-07-23,71.11,73.7,67.92,73.3,0.0
$S5TW,2025-07-24,69.72,72.31,66.73,67.33,0.0
$S5TW,2025-07-25,65.33,69.72,65.33,69.12,0.0
$S5TW,2025-07-28,65.33,67.72,59.16,60.95,0.0
$S5TW,2025-07-29,59.96,61.75,57.37,60.35,0.0
$S5TW,2025-07-30,56.37,58.64,45.12,47.91,0.0
$S5TW,2025-07-31,48.9,49.7,38.76,39.56,0.0
$S5TW,2025-08-01,31.8,36.38,31.8,35.98,0.0
$S5TW,2025-08-04,40.35,46.12,40.35,46.12,0.0
$S5TW,2025-08-05,45.72,45.72,40.55,41.55,0.0
$S5TW,2025-08-06,41.94,43.14,41.35,41.55,0.0
$S5TW,2025-08-07,49.9,49.9,40.55,44.13,0.0
$S5TW,2025-08-08,46.91,49.5,46.71,47.91,0.0
