open_time,open,high,low,close,volume
1750118400000,104.6,107.98,103.66,107.52,16389770.0
1750204800000,107.52,108.6,106.26,107.28,12430340.0
1750291200000,107.38,108.36,105.0,106.72,15862850.0
1750377600000,106.98,107.2,104.48,104.5,9068350.0
1750636800000,104.7,105.3,102.7,103.9,14308720.0
1750723200000,103.96,105.26,103.22,104.98,12891790.0
1750809600000,105.2,107.5,105.02,107.18,14962880.0
1750896000000,107.62,110.68,107.3,110.4,29917830.0
1750982400000,110.5,111.58,109.56,111.58,29920600.0
1751068800000,111.78,111.96,111.2,111.4,961120.0
1751155200000,111.28,111.6,111.06,111.06,1050370.0
1751241600000,111.28,112.62,109.78,111.22,28623560.0
1751328000000,111.42,112.82,110.0,110.48,28611490.0
1751414400000,110.7,112.46,110.2,112.02,22139480.0
1751500800000,112.0,112.7,108.82,109.4,31165150.0
1751587200000,109.38,110.5,108.08,109.48,17264540.0
1751673600000,109.68,109.7,109.22,109.38,208420.0
1751760000000,109.38,109.38,108.74,109.02,329880.0
1751846400000,109.02,109.1,106.36,106.4,13620190.0
1751932800000,106.38,107.7,103.1,103.72,26470470.0
1752019200000,103.72,104.7,102.2,104.16,27255480.0
1752105600000,104.22,105.42,103.12,104.42,13092960.0
1752192000000,104.6,104.88,101.08,101.5,17065580.0
1752278400000,101.96,102.44,101.5,102.0,887360.0
1752364800000,101.98,102.18,100.86,101.74,1395090.0
1752451200000,101.58,109.52,100.62,109.26,51537570.0
1752537600000,109.52,110.9,108.76,110.1,29616940.0
1752624000000,110.1,112.3,109.04,110.04,32044850.0
1752710400000,110.36,111.18,108.46,108.68,17973090.0
1752796800000,108.68,115.44,108.1,115.36,50155960.0
1752883200000,115.36,118.84,114.8,117.3,8765640.0
1752969600000,118.18,118.46,117.02,117.4,2589590.0
1753056000000,117.0,118.14,114.74,116.54,31277080.0
1753142400000,116.46,120.1,115.46,119.5,28885100.0
1753228800000,119.52,120.76,117.42,118.24,23881490.0
1753315200000,118.18,119.38,117.48,118.26,17217360.0
1753401600000,118.46,118.9,113.2,114.68,30439060.0
