open_time,open,high,low,close,volume
1750118400000,22.18,22.7,22.09,22.65,35393800.0
1750204800000,22.695,22.775,22.405,22.44,19827300.0
1750291200000,22.455,22.6,22.165,22.425,37060800.0
1750377600000,22.45,22.485,22.165,22.2,17864200.0
1750636800000,22.485,22.525,22.0,22.04,36378100.0
1750723200000,22.07,22.305,21.84,22.28,23027300.0
1750809600000,22.3,22.37,22.1,22.21,15652700.0
1750896000000,22.21,22.465,22.19,22.335,16039600.0
1750982400000,22.35,22.7,22.29,22.605,23003700.0
1751068800000,22.555,22.75,22.545,22.7,3967700.0
1751155200000,22.76,22.76,22.545,22.59,3907700.0
1751241600000,22.6,22.78,22.5,22.6,32473700.0
1751328000000,22.65,22.94,22.56,22.62,37263600.0
1751414400000,22.65,22.705,22.405,22.53,20705700.0
1751500800000,22.53,22.665,22.355,22.4,26664500.0
1751587200000,22.4,22.575,22.155,22.25,25828000.0
1751673600000,22.255,22.345,22.235,22.31,1132200.0
1751760000000,22.295,22.39,22.25,22.34,775400.0
1751846400000,22.37,22.48,22.08,22.115,17198600.0
1751932800000,22.08,22.2,21.695,21.72,21703100.0
1752019200000,21.63,22.065,21.63,21.78,25420000.0
1752105600000,21.805,22.335,21.775,22.035,24495500.0
1752192000000,22.015,22.195,21.575,21.58,27792800.0
1752278400000,21.62,21.74,21.605,21.65,965900.0
1752364800000,21.66,21.735,21.645,21.67,1343000.0
1752451200000,21.67,22.325,21.285,22.205,39675100.0
1752537600000,22.205,22.675,22.205,22.6,36523400.0
1752624000000,22.675,23.3,22.67,23.27,63281700.0
1752710400000,22.575,22.77,22.005,22.07,47894600.0
1752796800000,22.0,22.61,22.0,22.4,37812700.0
1752883200000,22.405,22.655,22.405,22.56,5585200.0
1752969600000,22.69,22.74,22.5,22.65,2861200.0
1753056000000,22.6,22.86,22.535,22.805,27086300.0
1753142400000,22.805,22.845,22.575,22.645,13069800.0
1753228800000,22.65,22.825,22.6,22.64,13886100.0
1753315200000,22.64,22.82,22.45,22.665,13021200.0
1753401600000,22.725,22.755,22.27,22.37,31503500.0
